Cancer,Laplacian,n,p,Route weights,converged,iterations,hit_iteration_cap,relative_change,objective,lipschitz_estimate,step_size,prox_gradient_l2,prox_gradient_linf,nonzero,exact_largest_eigenvalue,estimated_to_exact_ratio,current_objective_recomputed,robust_converged,robust_iterations,robust_relative_change,robust_objective,robust_prox_gradient_linf,robust_nonzero,current_minus_robust_objective,Top20 overlap,Top20 Jaccard,Elapsed sec
LUAD,zero,440,8207,"{""cnv"": 1.0, ""coexpr"": 0.0, ""meth"": 0.0}",False,300,True,0.0020373689725919656,0.5871200335676591,906.0548963873928,0.001103685884803651,0.06551007162310135,0.04392561279372277,37,864.4203229437403,1.0481647322935075,0.5871200335676591,False,3000,8.763236993507987e-05,0.5852199656998652,0.003939643735655859,14,0.001900067867793842,14,0.5384615384615384,5.432204484939575
LUAD,coexpr,440,8207,"{""cnv"": 1.0, ""coexpr"": 0.0, ""meth"": 0.0}",False,300,True,0.001747912558676918,0.5890970786132863,909.8273215309588,0.00109910966216898,0.04418219369692767,0.027649521675294737,62,868.1987325737776,1.0479482259018889,0.5890970786132863,False,3000,1.0609933630681425e-05,0.5886476392685075,0.0004171184067362954,50,0.00044943934477881253,19,0.9047619047619048,83.22844433784485
LUAD,meth,440,8207,"{""cnv"": 1.0, ""coexpr"": 0.0, ""meth"": 0.0}",False,300,True,0.001329287063137754,0.5896697730660214,913.4259709044466,0.0010947794696595176,0.028335177966829748,0.016003795737010298,60,871.6787900486339,1.0478928492151145,0.5896697730660214,False,3000,4.859201236843852e-07,0.5895537132073788,1.2083132959059877e-05,51,0.00011605985864260315,20,1.0,260.78511452674866
LUAD,cnv,440,8207,"{""cnv"": 1.0, ""coexpr"": 0.0, ""meth"": 0.0}",False,300,True,0.0001322828481895155,0.5915985765802009,926.0369072205259,0.0010798705669318,0.001091641123419201,0.001001680078223192,102,884.1170717595865,1.047414349072018,0.5915985765802009,True,921,9.997657561939265e-08,0.5915985188885355,7.730176453339486e-07,102,5.7691665333869935e-08,20,1.0,19.909587860107422
LUAD,routed,440,8207,"{""cnv"": 1.0, ""coexpr"": 0.0, ""meth"": 0.0}",False,300,True,0.0001322828481895155,0.5915985765802009,926.0369072205259,0.0010798705669318,0.001091641123419201,0.001001680078223192,102,884.1170717595866,1.0474143490720178,0.5915985765802009,True,921,9.997657562587547e-08,0.5915985188885355,7.730176453339487e-07,102,5.7691665333869935e-08,20,1.0,18.814740657806396
LIHC,zero,358,8286,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}",False,300,True,0.002061503038344109,0.6051079067699392,1252.8787861096584,0.0007981618102938131,0.07803843303087675,0.034799475733078386,51,1193.2252423406226,1.0499935315247102,0.6051079067699392,False,3000,9.762118609768168e-05,0.603090140351405,0.005298968851531983,15,0.002017766418534239,14,0.5384615384615384,5.487178802490234
LIHC,coexpr,358,8286,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}",False,300,True,0.00128812956064355,0.607610617351927,1257.7151173358488,0.0007950926137536193,0.033662857862571297,0.02024014921478947,72,1197.831971495296,1.049992943305561,0.607610617351927,False,3000,2.9739038236804735e-05,0.607439097834215,0.0009534422018172216,66,0.00017151951771199325,19,0.9047619047619048,140.5529727935791
LIHC,meth,358,8286,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}",False,300,True,0.0012697044888233546,0.6072132092699809,1262.4194888583866,0.0007921297229847948,0.03482857752921087,0.01984603190971405,63,1202.311541483094,1.049993654141544,0.6072132092699809,False,3000,1.3363273094463929e-05,0.6070460592456444,0.00037405012924934805,52,0.00016715002433653758,19,0.9047619047619048,336.31303334236145
LIHC,cnv,358,8286,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}",False,300,True,0.00034689326267952014,0.6094228348975236,1273.3263851742197,0.0007853445995020181,0.004771821113745178,0.0032135514664704008,104,1212.7020339109047,1.0499911351412552,0.6094228348975236,True,1244,9.965686046863642e-08,0.6094217765862148,9.040600756727304e-07,103,1.0583113088102891e-06,20,1.0,29.18801259994507
LIHC,routed,358,8286,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}",False,300,True,0.00128812956064355,0.607610617351927,1257.7151173358488,0.0007950926137536193,0.033662857862571297,0.02024014921478947,72,1197.831971495296,1.049992943305561,0.607610617351927,False,3000,2.9739038236804735e-05,0.607439097834215,0.0009534422018172216,66,0.00017151951771199325,19,0.9047619047619048,164.78174686431885
KIRC,zero,311,8235,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}",False,300,True,0.0019430285199311642,0.5907529860914499,1040.644710037681,0.0009609427601508594,0.13720312363681217,0.03665965493035872,111,992.0218533079635,1.0490138967882425,0.5907529860914499,False,3000,9.531254202040385e-05,0.5845763597937612,0.0058806693259832715,35,0.00617662629768867,18,0.8181818181818182,6.983262062072754
KIRC,coexpr,311,8235,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}",False,300,True,0.00143108005211122,0.6049304242235087,1052.4501479659282,0.0009501637696880003,0.07396453302599804,0.035499086258464096,261,1003.3196738744995,1.0489679165780759,0.6049304242235087,False,3000,2.6523563458115642e-05,0.6035615093401672,0.0016468114689095,221,0.0013689148833415654,17,0.7391304347826086,191.2316644191742
KIRC,meth,311,8235,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}",False,300,True,0.0010554058181592696,0.6050753665636417,1050.872884782442,0.0009515898777871939,0.0510033797314084,0.023646179303218103,232,1001.8284955894366,1.04895487541922,0.6050753665636417,False,3000,1.4117988124695052e-06,0.6047533420754791,6.739319652276851e-05,200,0.00032202448816254226,17,0.7391304347826086,337.0128812789917
KIRC,cnv,311,8235,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}",False,300,True,0.0006521904898389066,0.6107778688319984,1062.4564276301496,0.0009412150691492722,0.024740768486732883,0.020880837173792025,321,1013.0314990078898,1.0487891330828942,0.6107778688319984,True,2040,9.984432671796143e-08,0.6107220740870473,3.5726511246179832e-06,313,5.579474495109871e-05,20,1.0,182.60123419761658
KIRC,routed,311,8235,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}",False,300,True,0.00143108005211122,0.6049304242235087,1052.4501479659282,0.0009501637696880003,0.07396453302599804,0.035499086258464096,261,1003.319673874499,1.0489679165780763,0.6049304242235087,False,3000,2.6523563458114913e-05,0.6035615093401671,0.0016468114689094993,221,0.0013689148833416764,17,0.7391304347826086,171.9003438949585
COAD,zero,270,8203,"{""cnv"": 0.1658372552927882, ""coexpr"": 0.0, ""meth"": 0.8341627447072119}",False,300,True,0.0024269192066967843,0.4817187481650952,1573.3415507880836,0.0006355899006792911,0.06753207931808587,0.03061697717915047,29,1498.4226909375639,1.0499984819394605,0.4817187481650952,False,3000,0.00010132906390225356,0.48044363428508485,0.00410860821080684,12,0.0012751138800103368,11,0.3793103448275862,5.0311455726623535
COAD,coexpr,270,8203,"{""cnv"": 0.1658372552927882, ""coexpr"": 0.0, ""meth"": 0.8341627447072119}",False,300,True,0.0023027020248320563,0.4820606309920537,1574.9033687635435,0.0006349595917018705,0.05637613030850325,0.03065273184976399,29,1499.9103819947725,1.0499983116784857,0.4820606309920537,False,3000,7.530291587091546e-05,0.48120587390626696,0.0038849710887065847,13,0.0008547570857867504,13,0.48148148148148145,205.3269546031952
COAD,meth,270,8203,"{""cnv"": 0.1658372552927882, ""coexpr"": 0.0, ""meth"": 0.8341627447072119}",False,300,True,0.001651139560414442,0.48262744535266866,1583.9314656024449,0.0006313404473088437,0.029003313336576776,0.019602797833226767,29,1508.509021816966,1.049998006438592,0.48262744535266866,False,3000,8.585940117622329e-06,0.4825262767968312,0.00014632383544353894,25,0.00010116855583747197,20,1.0,432.1066994667053
COAD,cnv,270,8203,"{""cnv"": 0.1658372552927882, ""coexpr"": 0.0, ""meth"": 0.8341627447072119}",False,300,True,0.00016761265018327284,0.48323915375971677,1595.4760470511308,0.0006267721799072253,0.0009718292002147813,0.0008039748020137079,33,1519.5051551972815,1.0499971267580108,0.48323915375971677,True,1276,9.967564779429328e-08,0.48323911852847834,5.59631087806426e-07,33,3.5231238426636224e-08,20,1.0,87.05597710609436
COAD,routed,270,8203,"{""cnv"": 0.1658372552927882, ""coexpr"": 0.0, ""meth"": 0.8341627447072119}",False,300,True,0.0008029496275695085,0.4829088962533836,1585.8240107602103,0.0006305869965486405,0.010284763031898228,0.007144987582474017,30,1510.3116299574397,1.049997880771731,0.4829088962533836,True,2201,9.979971025825152e-08,0.48290358428720315,9.58488889254649e-07,29,5.3119661804768015e-06,20,1.0,496.6668646335602
STAD,zero,362,8056,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}",False,300,True,0.002512731165430052,0.6184544384394793,1330.4131149320422,0.0007516462283604896,0.058392297156895034,0.03945792766452251,18,1267.0604930264205,1.049999682141696,0.6184544384394793,False,3000,8.797394703037078e-05,0.6173884820685632,0.0048342959819195055,8,0.0010659563709161102,10,0.3333333333333333,11.916345596313477
STAD,coexpr,362,8056,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}",False,300,True,0.001847257458053786,0.6192740681519127,1341.8034502823784,0.0007452656346870722,0.025647325124837143,0.017992942839019036,24,1277.9084362125511,1.0499996809311303,0.6192740681519127,False,3000,6.273895225274607e-05,0.6191069573269149,0.0017515969824450678,16,0.00016711082499776264,16,0.6666666666666666,247.8167986869812
STAD,meth,362,8056,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}",False,300,True,0.0015083611691032411,0.619504595757401,1342.90810961332,0.0007446525885437853,0.014942726935450132,0.014231102729463685,26,1278.9605825735885,1.0499996074242204,0.619504595757401,False,3000,1.6742909382087934e-06,0.6194730586463354,1.7782199610424324e-05,23,3.1537111065627066e-05,19,0.9047619047619048,527.1365761756897
STAD,cnv,362,8056,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}",False,300,True,0.00023596675053634108,0.6197031969221303,1357.8506640274975,0.0007364580115415028,0.001201996133641427,0.0010058220495286414,30,1293.191776519546,1.0499994576844374,0.6197031969221303,True,1321,9.975501850910748e-08,0.6197031267403974,4.0230957039109246e-07,30,7.018173286965634e-08,20,1.0,54.762065410614014
STAD,routed,362,8056,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}",False,300,True,0.002512731165430052,0.6184544384394793,1330.4131149320422,0.0007516462283604896,0.058392297156895034,0.03945792766452251,18,1267.0604930264205,1.049999682141696,0.6184544384394793,False,3000,8.797394703037078e-05,0.6173884820685632,0.0048342959819195055,8,0.0010659563709161102,10,0.3333333333333333,7.130561113357544
HNSC,zero,513,8254,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}",False,300,True,0.0023098998422199702,0.6611968715170762,1066.7048050527412,0.0009374664811325724,0.060984514753858,0.039067186647869706,27,1059.8095589144364,1.0065061180853734,0.6611968715170762,False,3000,8.566923588913582e-05,0.6595567901555874,0.004085622236619654,10,0.0016400813614887433,10,0.3333333333333333,14.722946882247925
HNSC,coexpr,513,8254,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}",False,300,True,0.002342403765360107,0.6623009705318829,1063.732951767955,0.0009400855716070194,0.04689022102346934,0.03364045717702454,42,1063.5192774466213,1.0002009125042346,0.6623009705318829,False,3000,3.60138425765486e-05,0.6615919442885461,0.0017991830280682437,31,0.0007090262433367966,18,0.8181818181818182,230.47019910812378
HNSC,meth,513,8254,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}",False,300,True,0.0011392440758543987,0.6627128449072666,1069.6105186453656,0.0009349197512254035,0.017326003785734834,0.009456079847849064,37,1065.2807722035943,1.0040644180902796,0.6627128449072666,False,3000,2.413719561107669e-06,0.6626760227261475,4.490837987343921e-05,32,3.682218111911162e-05,20,1.0,697.072046995163
HNSC,cnv,513,8254,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}",False,300,True,0.00021511257650378272,0.6633754584059538,1065.8988321879992,0.0009381753406627467,0.0016489855604148614,0.0013683139320249315,46,1074.6796016303754,0.9918294071748873,0.6633754584059538,True,1054,9.974608179210441e-08,0.663375338546355,6.637517684859264e-07,46,1.1985959880167485e-07,20,1.0,44.91283059120178
HNSC,routed,513,8254,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}",False,300,True,0.0011392440758543987,0.6627128449072666,1069.6105186453656,0.0009349197512254035,0.017326003785734834,0.009456079847849064,37,1065.2807722035948,1.0040644180902791,0.6627128449072666,False,3000,2.4137195611077176e-06,0.6626760227261475,4.490837987343923e-05,32,3.682218111911162e-05,20,1.0,591.8353378772736
