Cancer,Split seed,Train n,Test n,Test events,Gate margin,No-graph test C-index,Reconstructed C-index,Fixed C-index,Fixed minus reconstructed,Top-20 overlap,Top-20 Jaccard,Reconstructed mode,Fixed mode,Reconstructed weights,Fixed weights
KIRC,2025,217,94,31,0.0,0.7269029633933759,0.7402672864613596,0.7280650784427658,-0.01220220801859384,18,0.8181818181818182,dual_driven,dual_driven,"{""cnv"": 0.0, ""coexpr"": 0.29471723059633137, ""meth"": 0.7052827694036686}","{""cnv"": 0.16195572734790586, ""coexpr"": 0.2548896035838274, ""meth"": 0.5831546690682667}"
KIRC,2025,217,94,31,0.005,0.7269029633933759,0.737361998837885,0.737361998837885,0.0,20,1.0,dual_driven,dual_driven,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}","{""cnv"": 0.0, ""coexpr"": 0.30414813620430564, ""meth"": 0.6958518637956944}"
KIRC,2025,217,94,31,0.01,0.7269029633933759,0.7269029633933759,0.737361998837885,0.010459035444509102,18,0.8181818181818182,reject_all_graphs,dual_driven,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}","{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}"
