Cancer,Split seed,Train n,Test n,Test events,Gate margin,No-graph test C-index,Reconstructed C-index,Fixed C-index,Fixed minus reconstructed,Top-20 overlap,Top-20 Jaccard,Reconstructed mode,Fixed mode,Reconstructed weights,Fixed weights
COAD,7301,189,81,20,0.0,0.6527472527472528,0.6604395604395604,0.6494505494505495,-0.01098901098901095,19,0.9047619047619048,dual_driven,dual_driven,"{""cnv"": 0.0, ""coexpr"": 0.10305670945463831, ""meth"": 0.8969432905453617}","{""cnv"": 0.0, ""coexpr"": 0.14983812360098986, ""meth"": 0.8501618763990101}"
COAD,7301,189,81,20,0.005,0.6527472527472528,0.6384615384615384,0.6494505494505495,0.010989010989011061,19,0.9047619047619048,dual_driven,dual_driven,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}","{""cnv"": 0.0, ""coexpr"": 0.14983812360098986, ""meth"": 0.8501618763990101}"
COAD,7301,189,81,20,0.01,0.6527472527472528,0.6384615384615384,0.6384615384615384,0.0,20,1.0,dual_driven,dual_driven,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}","{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}"
