gate_margin,cancer,split_n,reconstructed_cindex_mean,fixed_cindex_mean,fixed_minus_reconstructed_mean,fixed_minus_reconstructed_min,fixed_minus_reconstructed_max,top20_jaccard_mean,route_agreement_rate,reconstructed_reject_rate,fixed_reject_rate
0.0,LUAD,3,0.5472171465069772,0.5452884303709429,-0.0019287161360342548,-0.004858791375645266,0.0,0.9076479076479077,1.0,0.3333333333333333,0.3333333333333333
0.0,LIHC,3,0.6043574688037895,0.6173232059091635,0.012965737105374076,0.012489927477840501,0.013668430335097015,0.7654808959156786,0.6666666666666666,0.3333333333333333,0.0
0.0,KIRC,3,0.683219357014328,0.6820672702338785,-0.001152086780449461,-0.014742014742014753,0.02348796241926021,0.7676767676767677,0.6666666666666666,0.3333333333333333,0.0
0.0,COAD,3,0.6431515756815247,0.6245768778926165,-0.018574697788908263,-0.025442477876106206,-0.01098901098901095,0.849551414768806,0.6666666666666666,0.0,0.3333333333333333
0.0,STAD,3,0.5968628129204899,0.5979536648254257,0.0010908519049356302,-0.0017743080198723282,0.005046863734679219,0.8812974465148379,0.6666666666666666,0.6666666666666666,0.3333333333333333
0.0,HNSC,3,0.6004116376352391,0.5989814720276853,-0.0014301656075538238,-0.0060606060606061,0.0066803699897225455,0.8759018759018758,0.6666666666666666,0.0,0.3333333333333333
0.005,LUAD,3,0.5472171465069772,0.5452884303709429,-0.0019287161360342548,-0.004858791375645266,0.0,0.9076479076479077,1.0,0.3333333333333333,0.3333333333333333
0.005,LIHC,3,0.6070467823211284,0.6123641615777492,0.005317379256620791,0.0,0.011281224818694646,0.8787878787878789,0.6666666666666666,0.6666666666666666,0.3333333333333333
0.005,KIRC,3,0.6822509278065031,0.6894659979986725,0.007215070192169455,-0.0018427518427518441,0.02348796241926021,0.8282828282828283,0.6666666666666666,0.3333333333333333,0.0
0.005,COAD,3,0.6358255683555174,0.6245768778926165,-0.011248690462900926,-0.025442477876106206,0.010989010989011061,0.849551414768806,0.6666666666666666,0.0,0.3333333333333333
0.005,STAD,3,0.5968628129204899,0.5979536648254257,0.0010908519049356302,-0.0017743080198723282,0.005046863734679219,0.8812974465148379,0.6666666666666666,0.6666666666666666,0.3333333333333333
0.005,HNSC,3,0.602465267458653,0.5999627130089262,-0.0025025544497268384,-0.004910260751777917,0.0,0.9076479076479077,0.6666666666666666,0.3333333333333333,0.6666666666666666
0.01,LUAD,3,0.5395240601622054,0.5473550751029576,0.007831014940752187,0.0,0.02349304482225656,0.9393939393939394,0.6666666666666666,0.6666666666666666,1.0
0.01,LIHC,3,0.6081211846848137,0.6142443657141983,0.006123181029384657,0.0,0.013698630136986245,0.852437417654809,0.6666666666666666,0.6666666666666666,0.3333333333333333
0.01,KIRC,3,0.6769218308155814,0.6804081759637514,0.0034863451481697005,0.0,0.010459035444509102,0.9393939393939394,0.6666666666666666,1.0,0.6666666666666666
0.01,COAD,3,0.6358255683555174,0.6209138742296129,-0.014911694125904615,-0.025442477876106206,0.0,0.8812974465148379,0.6666666666666666,0.0,0.3333333333333333
0.01,STAD,3,0.5968628129204899,0.5992548240399986,0.0023920111195086338,0.0,0.005046863734679219,0.8812974465148379,0.6666666666666666,0.6666666666666666,0.3333333333333333
0.01,HNSC,3,0.6015994665928522,0.5992289958850974,-0.0023704707077548313,-0.007111412123264493,0.0,0.9393939393939394,1.0,0.6666666666666666,0.6666666666666666
