Cancer,Split seed,Train n,Test n,Test events,Gate margin,No-graph test C-index,Reconstructed C-index,Fixed C-index,Fixed minus reconstructed,Top-20 overlap,Top-20 Jaccard,Reconstructed mode,Fixed mode,Reconstructed weights,Fixed weights
STAD,7301,253,109,42,0.0,0.6265320836337419,0.6359048305695746,0.6409516943042538,0.005046863734679219,19,0.9047619047619048,dual_driven,dual_driven,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}","{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}"
STAD,7301,253,109,42,0.005,0.6265320836337419,0.6359048305695746,0.6409516943042538,0.005046863734679219,19,0.9047619047619048,dual_driven,dual_driven,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}","{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}"
STAD,7301,253,109,42,0.01,0.6265320836337419,0.6359048305695746,0.6409516943042538,0.005046863734679219,19,0.9047619047619048,dual_driven,dual_driven,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}","{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}"
