Cancer,Primary cohort,Lock density,Directional-max density,Edge Jaccard,Lock coexpr/meth/cnv,Directional coexpr/meth/cnv,Directional route,Top20 overlap,Top20 Jaccard,Lock primary C-index,Directional primary C-index,Directional minus lock C-index,Elapsed minutes
LUAD,GSE31210,0.2051394633751746,0.36779603651211,0.5577528248471245,0.000/0.000/1.000,0.000/0.784/0.216,dual_driven,19,0.9047619047619048,0.6480886604561517,0.6557982653389014,0.007709604882749743,72.20533190965652
LIHC,GSE14520,0.3089661965540613,0.5089980394616073,0.607007974247964,1.000/0.000/0.000,1.000/0.000/0.000,dual_driven,20,1.0,0.6584995663486557,0.6584995663486557,0.0,102.71534209251404
KIRC,GSE29609,0.2290088086788692,0.4016109548587837,0.5702250415484879,1.000/0.000/0.000,0.613/0.387/0.000,dual_driven,17,0.7391304347826086,0.2823275862068966,0.2801724137931034,-0.0021551724137931494,60.042239316304524
COAD,GSE39582,0.3013822653008488,0.5084200138148945,0.5927813192529512,0.000/0.834/0.166,0.000/0.845/0.155,dual_driven,20,1.0,0.5156072216814948,0.5156072216814948,0.0,96.33783618211746
STAD,GSE84437,0.3244820089294245,0.5418695450900185,0.5988189694080428,0.000/0.000/0.000,0.000/0.000/0.000,reject_all_graphs,20,1.0,0.5470822591985001,0.5470822591985001,0.0,98.1216596921285
HNSC,GSE65858,0.271418627250729,0.4620629321713413,0.587405888971273,0.000/1.000/0.000,0.000/1.000/0.000,dual_driven,19,0.9047619047619048,0.5390596302191747,0.5337945389984082,-0.00526509122076646,56.67266448338827
