Cancer,Scheme,RBO@20,normalized_RBO@20,Jaccard
LUAD,no_graph,0.339674877185133,0.38668698749896213,0.23066513644663356
LUAD,equal,0.3520524137592128,0.40077761548461827,0.2606667513973431
LUAD,stability_only,0.3780645884816822,0.4303899599861697,0.2510121450907585
LUAD,utility_only,0.2676874304776638,0.3047362434941838,0.24508383158472163
LUAD,joint,0.2676874304776638,0.3047362434941838,0.24508383158472163
LIHC,no_graph,0.2519629556748648,0.28683545011821787,0.22753637832084997
LIHC,equal,0.25336979764430306,0.28843700360241237,0.24562362773127341
LIHC,stability_only,0.25309592499084144,0.2881252260809099,0.24326007265386232
LIHC,utility_only,0.29055034070802693,0.3307634550315853,0.2152178180182678
LIHC,joint,0.29055034070802693,0.3307634550315853,0.2152178180182678
KIRC,no_graph,0.2316370578951851,0.2636963818251207,0.24293799146858777
KIRC,equal,0.3429290147157,0.39039150827197305,0.2955305888299952
KIRC,stability_only,0.4021550803383417,0.45781465444875935,0.298871255740905
KIRC,utility_only,0.3089712472723894,0.3517338751150549,0.2763444370231492
KIRC,joint,0.3089712472723894,0.3517338751150549,0.2763444370231492
COAD,no_graph,0.17716343442637136,0.20168343128881208,0.18289570083968243
COAD,equal,0.16458327691289176,0.18736213896521609,0.1783363396132472
COAD,stability_only,0.16487343988665581,0.18769246144045587,0.17785200501086415
COAD,utility_only,0.1700854919001485,0.1936258784434652,0.17405006337103093
COAD,joint,0.17138754943832313,0.1951081449895208,0.174160706104712
STAD,no_graph,0.24748831655290124,0.281741506354829,0.17178352857142842
STAD,equal,0.2014696125958848,0.22935366375307384,0.16262913816266872
STAD,stability_only,0.2052528173008098,0.23366047632208822,0.16578314036136108
STAD,utility_only,0.24748831655290124,0.281741506354829,0.17178352857142842
STAD,joint,0.24748831655290124,0.281741506354829,0.17178352857142842
HNSC,no_graph,0.3335364511337858,0.3796989832713581,0.2580207964969788
HNSC,equal,0.347978787377166,0.39614018593161826,0.28453313817707127
HNSC,stability_only,0.3557220786376989,0.40495517394508435,0.2825715918530337
HNSC,utility_only,0.35421410369462836,0.4032384903540219,0.28050188108312946
HNSC,joint,0.35421410369462836,0.4032384903540219,0.28050188108312946
Mean excl. KIRC,no_graph,0.26996520699461124,0.30732927170643587,0.21418030813511463
Mean excl. KIRC,equal,0.2638907776578917,0.3004141215473878,0.22635779901632075
Mean excl. KIRC,stability_only,0.27140176985953757,0.30896465955494157,0.22409579099397597
Mean excl. KIRC,utility_only,0.26600513666667375,0.302821114735617,0.21732742452571566
Mean excl. KIRC,joint,0.2662655481743087,0.3031175680448281,0.21734955307245185
