Cancer,Split seed,Train n,Test n,Test events,Gate margin,No-graph test C-index,Reconstructed C-index,Fixed C-index,Fixed minus reconstructed,Top-20 overlap,Top-20 Jaccard,Reconstructed mode,Fixed mode,Reconstructed weights,Fixed weights
STAD,2025,253,109,42,0.0,0.5883244882486732,0.5883244882486732,0.5883244882486732,0.0,20,1.0,reject_all_graphs,reject_all_graphs,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}","{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}"
STAD,2025,253,109,42,0.005,0.5883244882486732,0.5883244882486732,0.5883244882486732,0.0,20,1.0,reject_all_graphs,reject_all_graphs,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}","{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}"
STAD,2025,253,109,42,0.01,0.5883244882486732,0.5883244882486732,0.5883244882486732,0.0,20,1.0,reject_all_graphs,reject_all_graphs,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}","{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}"
