cancer,n_repeats,no_relation_frequency,dominant_layer_mode,dominant_layer_mode_frequency,coexpr_dominant_frequency,w_coexpr_mean,w_coexpr_sd,meth_dominant_frequency,w_meth_mean,w_meth_sd,cnv_dominant_frequency,w_cnv_mean,w_cnv_sd
HNSC,3,0.3333333333333333,no_relation,0.3333333333333333,0.3333333333333333,0.172461350629442,0.2987118216321443,0.0,0.16897045900579136,0.27189646300343673,0.3333333333333333,0.32523485703143334,0.5633232967708424
STAD,3,0.3333333333333333,coexpr,0.3333333333333333,0.3333333333333333,0.2156839551126002,0.37357556863242863,0.3333333333333333,0.4317780911120443,0.5137729912684682,0.0,0.019204620442022192,0.03326337834565831

