cancer,repeat,seed,weight_mode,dominant_layer,baseline_stability,baseline_ci,w_coexpr,stability_coexpr,delta_coexpr,stage2_ci_coexpr,w_meth,stability_meth,delta_meth,stage2_ci_meth,w_cnv,stability_cnv,delta_cnv,stage2_ci_cnv
STAD,1,7300,dual_driven,coexpr,0.22070240434248248,0.6990225054495005,0.6470518653378006,0.19132805241532877,0.011497498641045545,0.710520004090546,0.29533427333613294,0.18380996441167902,0.0054624531175599955,0.7044849585670605,0.05761386132606658,0.18909753867729667,0.0010358193768530422,0.7000583248263536
STAD,2,7301,reject_all_graphs,no_relation,0.22672748844997107,0.7003443331090005,0.0,0.1849076251798206,-0.012536315320147207,0.6878080177888533,0.0,0.17923020010053184,-0.01703710540543235,0.6833072277035681,0.0,0.1944867456649795,-0.018727717871936833,0.6816166152370636
STAD,3,7302,dual_driven,meth,0.22731170590675823,0.6629756766862016,0.0,0.202331282056834,-0.006296472991067281,0.6566792036951343,1.0,0.1958642371993039,0.005700049622522685,0.6686757263087243,0.0,0.18981224475629066,-0.01506383536207867,0.6479118413241229
HNSC,1,7300,reject_all_graphs,no_relation,0.30067730485759525,0.6934232843380767,0.0,0.3687414224658132,-0.00023429734625279863,0.6931889869918239,0.0,0.328977609557008,-0.0050863248575053754,0.6883369594805713,0.0,0.3209378808186587,-0.006094613583497388,0.6873286707545793
HNSC,2,7301,dual_driven,coexpr,0.32978776643300045,0.6975500661914221,0.517384051888326,0.39217454174159466,0.004377160912354738,0.7019272271037769,0.482615948111674,0.33773019994744974,0.004741225859270726,0.7022912920506929,0.0,0.2947997618888577,-0.0027631185071960163,0.6947869476842261
HNSC,3,7302,dual_driven,cnv,0.33707611790534503,0.6925582294148306,0.0,0.39898089077308707,-0.0034987083069714098,0.6890595211078592,0.024295428905700085,0.3490919908026256,0.0001290981225453569,0.6926873275373759,0.9757045710943,0.33605414266340233,0.005385726896728338,0.6979439563115589

