Cancer,Method,Rank,Gene
LUAD,RSF,16,LINGO2
LUAD,RSF,17,STAR
LUAD,RSF,18,NTNG2
LUAD,RSF,19,TAC1
LUAD,RSF,20,GUCY2C
LUAD,DeepSurv,1,CYP17A1
LUAD,DeepSurv,2,TRPC6
LUAD,DeepSurv,3,SPATA22
LUAD,DeepSurv,4,NXPH1
LUAD,DeepSurv,5,LGALS9B
LUAD,DeepSurv,6,LY6K
LUAD,DeepSurv,7,LINGO2
LUAD,DeepSurv,8,CLLU1OS
LUAD,DeepSurv,9,ZNF233
LUAD,DeepSurv,10,ARG1
LUAD,DeepSurv,11,FAHD2B
LUAD,DeepSurv,12,CRYBB2
LUAD,DeepSurv,13,CCL20
LUAD,DeepSurv,14,OR2A4
LUAD,DeepSurv,15,MPZ
LUAD,DeepSurv,16,SNTG2
LUAD,DeepSurv,17,TDRD1
LUAD,DeepSurv,18,C9orf47
LUAD,DeepSurv,19,LRRC3B
LUAD,DeepSurv,20,FKBP6
LIHC,MKG,1,CBX2
LIHC,MKG,2,SOCS2
LIHC,MKG,3,SEC31B
LIHC,MKG,4,PDE6A
LIHC,MKG,5,SLC7A11
LIHC,MKG,6,FER1L5
LIHC,MKG,7,ADAMTS5
LIHC,MKG,8,GHR
LIHC,MKG,9,KIF20A
LIHC,MKG,10,EPO
LIHC,MKG,11,ENO1
LIHC,MKG,12,LPCAT1
LIHC,MKG,13,LIMS2
LIHC,MKG,14,SRL
LIHC,MKG,15,FMO9P
LIHC,MKG,16,MTHFS
LIHC,MKG,17,SPP1
LIHC,MKG,18,PSRC1
LIHC,MKG,19,RAMP3
LIHC,MKG,20,GP1BA
LIHC,GR-SAFS_coexpr,1,CBX2
LIHC,GR-SAFS_coexpr,2,SOCS2
LIHC,GR-SAFS_coexpr,3,SEC31B
LIHC,GR-SAFS_coexpr,4,PDE6A
LIHC,GR-SAFS_coexpr,5,SLC7A11
LIHC,GR-SAFS_coexpr,6,FER1L5
LIHC,GR-SAFS_coexpr,7,ADAMTS5
LIHC,GR-SAFS_coexpr,8,GHR
LIHC,GR-SAFS_coexpr,9,KIF20A
LIHC,GR-SAFS_coexpr,10,EPO
LIHC,GR-SAFS_coexpr,11,ENO1
LIHC,GR-SAFS_coexpr,12,LPCAT1
LIHC,GR-SAFS_coexpr,13,LIMS2
LIHC,GR-SAFS_coexpr,14,SRL
LIHC,GR-SAFS_coexpr,15,FMO9P
LIHC,GR-SAFS_coexpr,16,MTHFS
LIHC,GR-SAFS_coexpr,17,SPP1
LIHC,GR-SAFS_coexpr,18,PSRC1
LIHC,GR-SAFS_coexpr,19,RAMP3
LIHC,GR-SAFS_coexpr,20,GP1BA
LIHC,MKG_equal,1,CBX2
LIHC,MKG_equal,2,SOCS2
LIHC,MKG_equal,3,ADAMTS5
LIHC,MKG_equal,4,GHR
LIHC,MKG_equal,5,LPCAT1
LIHC,MKG_equal,6,KIF20A
LIHC,MKG_equal,7,SRL
LIHC,MKG_equal,8,SLC7A11
LIHC,MKG_equal,9,SEC31B
LIHC,MKG_equal,10,MTHFS
LIHC,MKG_equal,11,PDE6A
LIHC,MKG_equal,12,ENO1
LIHC,MKG_equal,13,LIMS2
LIHC,MKG_equal,14,EPO
LIHC,MKG_equal,15,FER1L5
LIHC,MKG_equal,16,SPP1
LIHC,MKG_equal,17,RAMP3
LIHC,MKG_equal,18,PSRC1
LIHC,MKG_equal,19,GP1BA
LIHC,MKG_equal,20,LCAT
LIHC,Cox-Lasso,1,CHRNA4
LIHC,Cox-Lasso,2,PCDHGA5
LIHC,Cox-Lasso,3,RETN
LIHC,Cox-Lasso,4,C5orf58
LIHC,Cox-Lasso,5,C1orf227
LIHC,Cox-Lasso,6,BBS7
LIHC,Cox-Lasso,7,DNAJC15
LIHC,Cox-Lasso,8,ANGPT4
LIHC,Cox-Lasso,9,PGBD1
LIHC,Cox-Lasso,10,SCN2B
LIHC,Cox-Lasso,11,NKD2
LIHC,Cox-Lasso,12,RFPL4A
LIHC,Cox-Lasso,13,CRISPLD1
LIHC,Cox-Lasso,14,ACRBP
LIHC,Cox-Lasso,15,SLC26A3
LIHC,Cox-Lasso,16,C10orf107
LIHC,Cox-Lasso,17,CCR9
LIHC,Cox-Lasso,18,ESRRG
LIHC,Cox-Lasso,19,HHIPL1
LIHC,Cox-Lasso,20,MFAP5
LIHC,Cox-EN,1,CHRNA4
LIHC,Cox-EN,2,PCDHGA5
LIHC,Cox-EN,3,RETN
LIHC,Cox-EN,4,C5orf58
LIHC,Cox-EN,5,C1orf227
LIHC,Cox-EN,6,BBS7
LIHC,Cox-EN,7,NKD2
LIHC,Cox-EN,8,DNAJC15
LIHC,Cox-EN,9,ANGPT4
LIHC,Cox-EN,10,ACRBP
LIHC,Cox-EN,11,CCR9
LIHC,Cox-EN,12,SCN2B
LIHC,Cox-EN,13,HAUS4
LIHC,Cox-EN,14,C10orf107
LIHC,Cox-EN,15,SLC6A3
LIHC,Cox-EN,16,CRISPLD1
LIHC,Cox-EN,17,PGBD1
LIHC,Cox-EN,18,ACOXL
LIHC,Cox-EN,19,BDNF
LIHC,Cox-EN,20,RFPL4A
LIHC,Uni-Cox,1,CBX2
LIHC,Uni-Cox,2,SOCS2
LIHC,Uni-Cox,3,CDCA8
LIHC,Uni-Cox,4,RAMP3
LIHC,Uni-Cox,5,LPCAT1
LIHC,Uni-Cox,6,NEIL3
LIHC,Uni-Cox,7,PFKFB4
LIHC,Uni-Cox,8,TRIP13
LIHC,Uni-Cox,9,LIMS2
LIHC,Uni-Cox,10,PSRC1
LIHC,Uni-Cox,11,SLC2A1
LIHC,Uni-Cox,12,FTCD
LIHC,Uni-Cox,13,CENPA
LIHC,Uni-Cox,14,CDC20
LIHC,Uni-Cox,15,SLC1A5
LIHC,Uni-Cox,16,KIF2C
LIHC,Uni-Cox,17,CEP55
LIHC,Uni-Cox,18,GOT2
LIHC,Uni-Cox,19,CLEC3B
LIHC,Uni-Cox,20,SRL
LIHC,RSF,1,BTNL9
LIHC,RSF,2,NELL1
LIHC,RSF,3,FMO9P
LIHC,RSF,4,ANKFN1
LIHC,RSF,5,SLC5A2
LIHC,RSF,6,PNLDC1
LIHC,RSF,7,MTNR1B
LIHC,RSF,8,CABYR
LIHC,RSF,9,CENPO
LIHC,RSF,10,CRISP2
LIHC,RSF,11,LEP
LIHC,RSF,12,SERPINB2
LIHC,RSF,13,KRT1
LIHC,RSF,14,CREB5
LIHC,RSF,15,KLF1
LIHC,RSF,16,TGM4
LIHC,RSF,17,NIPAL2
LIHC,RSF,18,ACSF3
LIHC,RSF,19,PRH2
LIHC,RSF,20,GABRP
LIHC,DeepSurv,1,C1orf227
LIHC,DeepSurv,2,CHRNA4
LIHC,DeepSurv,3,TMEM144
LIHC,DeepSurv,4,HOXD10
LIHC,DeepSurv,5,HIST1H1E
LIHC,DeepSurv,6,RETN
LIHC,DeepSurv,7,SGCB
LIHC,DeepSurv,8,TMC3
LIHC,DeepSurv,9,CBX2
LIHC,DeepSurv,10,CASQ1
LIHC,DeepSurv,11,NKD2
LIHC,DeepSurv,12,TMEM217
LIHC,DeepSurv,13,C5orf58
LIHC,DeepSurv,14,GGN
LIHC,DeepSurv,15,PRDM12
LIHC,DeepSurv,16,SCAMP5
LIHC,DeepSurv,17,ZNF582
LIHC,DeepSurv,18,RIC3
LIHC,DeepSurv,19,HOXD9
LIHC,DeepSurv,20,ACHE
KIRC,MKG,1,FOXA1
KIRC,MKG,2,LCTL
KIRC,MKG,3,HOXA2
KIRC,MKG,4,CILP
KIRC,MKG,5,PDK4
KIRC,MKG,6,CYP3A7
KIRC,MKG,7,PEX5L
KIRC,MKG,8,DONSON
KIRC,MKG,9,MPV17L
KIRC,MKG,10,OTX1
KIRC,MKG,11,FOXA2
KIRC,MKG,12,AMH
KIRC,MKG,13,CYP3A4
KIRC,MKG,14,SHOX2
KIRC,MKG,15,CHAC1
KIRC,MKG,16,ADAM22
KIRC,MKG,17,DNASE1L3
KIRC,MKG,18,LPPR3
KIRC,MKG,19,CRABP2
KIRC,MKG,20,SEC61A2
KIRC,GR-SAFS_coexpr,1,FOXA1
KIRC,GR-SAFS_coexpr,2,LCTL
KIRC,GR-SAFS_coexpr,3,HOXA2
KIRC,GR-SAFS_coexpr,4,CILP
KIRC,GR-SAFS_coexpr,5,PDK4
KIRC,GR-SAFS_coexpr,6,CYP3A7
KIRC,GR-SAFS_coexpr,7,PEX5L
KIRC,GR-SAFS_coexpr,8,DONSON
KIRC,GR-SAFS_coexpr,9,MPV17L
KIRC,GR-SAFS_coexpr,10,OTX1
KIRC,GR-SAFS_coexpr,11,FOXA2
KIRC,GR-SAFS_coexpr,12,AMH
KIRC,GR-SAFS_coexpr,13,CYP3A4
KIRC,GR-SAFS_coexpr,14,SHOX2
KIRC,GR-SAFS_coexpr,15,CHAC1
KIRC,GR-SAFS_coexpr,16,ADAM22
KIRC,GR-SAFS_coexpr,17,DNASE1L3
KIRC,GR-SAFS_coexpr,18,LPPR3
KIRC,GR-SAFS_coexpr,19,CRABP2
KIRC,GR-SAFS_coexpr,20,SEC61A2
KIRC,MKG_equal,1,FOXA1
KIRC,MKG_equal,2,LCTL
KIRC,MKG_equal,3,CILP
KIRC,MKG_equal,4,DONSON
KIRC,MKG_equal,5,HOXA2
KIRC,MKG_equal,6,PDK4
KIRC,MKG_equal,7,PEX5L
KIRC,MKG_equal,8,CYP3A7
KIRC,MKG_equal,9,BIRC5
KIRC,MKG_equal,10,CHAC1
KIRC,MKG_equal,11,FBXO43
KIRC,MKG_equal,12,ANK3
KIRC,MKG_equal,13,SHOX2
KIRC,MKG_equal,14,OTX1
KIRC,MKG_equal,15,ADAM22
KIRC,MKG_equal,16,SEC61A2
KIRC,MKG_equal,17,CDCA3
KIRC,MKG_equal,18,CRABP2
KIRC,MKG_equal,19,ITIH4
KIRC,MKG_equal,20,DNASE1L3
KIRC,Cox-Lasso,1,TPSD1
KIRC,Cox-Lasso,2,C1orf204
KIRC,Cox-Lasso,3,SPATC1
KIRC,Cox-Lasso,4,CYP3A7
KIRC,Cox-Lasso,5,RALYL
KIRC,Cox-Lasso,6,AKNAD1
KIRC,Cox-Lasso,7,PEBP4
KIRC,Cox-Lasso,8,HIST1H1T
KIRC,Cox-Lasso,9,ABCA13
KIRC,Cox-Lasso,10,GAS2
KIRC,Cox-Lasso,11,SLC6A15
KIRC,Cox-Lasso,12,BAALC
KIRC,Cox-Lasso,13,HS3ST1
KIRC,Cox-Lasso,14,HOXA2
KIRC,Cox-Lasso,15,SPINK5
KIRC,Cox-Lasso,16,HIST1H4E
KIRC,Cox-Lasso,17,HOXD4
KIRC,Cox-Lasso,18,B3GALT2
KIRC,Cox-Lasso,19,REG3A
KIRC,Cox-Lasso,20,CES1
KIRC,Cox-EN,1,TPSD1
KIRC,Cox-EN,2,C1orf204
KIRC,Cox-EN,3,SPATC1
KIRC,Cox-EN,4,RALYL
KIRC,Cox-EN,5,PEBP4
KIRC,Cox-EN,6,CYP3A7
KIRC,Cox-EN,7,AKNAD1
KIRC,Cox-EN,8,ABCA13
KIRC,Cox-EN,9,SLC6A15
KIRC,Cox-EN,10,HOXA2
KIRC,Cox-EN,11,HIST1H1T
KIRC,Cox-EN,12,SPINK5
KIRC,Cox-EN,13,REG3A
KIRC,Cox-EN,14,HOXD4
KIRC,Cox-EN,15,C15orf26
KIRC,Cox-EN,16,DMRTA1
KIRC,Cox-EN,17,CLEC4G
KIRC,Cox-EN,18,CMTM5
KIRC,Cox-EN,19,ABCB4
KIRC,Cox-EN,20,BAALC
KIRC,Uni-Cox,1,SORBS2
KIRC,Uni-Cox,2,CYFIP2
KIRC,Uni-Cox,3,CDCA3
KIRC,Uni-Cox,4,FAM72B
KIRC,Uni-Cox,5,FAM72D
KIRC,Uni-Cox,6,KIF18B
KIRC,Uni-Cox,7,DONSON
KIRC,Uni-Cox,8,PLK1
KIRC,Uni-Cox,9,UBE2S
KIRC,Uni-Cox,10,CCNF
KIRC,Uni-Cox,11,TROAP
KIRC,Uni-Cox,12,SEC61A2
KIRC,Uni-Cox,13,LIMCH1
KIRC,Uni-Cox,14,CENPA
KIRC,Uni-Cox,15,HHIPL2
KIRC,Uni-Cox,16,AURKB
KIRC,Uni-Cox,17,SHOX2
KIRC,Uni-Cox,18,ZIC2
KIRC,Uni-Cox,19,UBE2C
KIRC,Uni-Cox,20,SKA1
KIRC,RSF,1,SLC12A8
KIRC,RSF,2,GPX3
KIRC,RSF,3,VMO1
KIRC,RSF,4,THNSL2
KIRC,RSF,5,ATP1B1
KIRC,RSF,6,BARX1
KIRC,RSF,7,TRIM63
KIRC,RSF,8,SRM
KIRC,RSF,9,RGS14
KIRC,RSF,10,B3GNTL1
KIRC,RSF,11,PHPT1
KIRC,RSF,12,DQX1
KIRC,RSF,13,ULBP2
KIRC,RSF,14,FAM195B
KIRC,RSF,15,RNF144B
KIRC,RSF,16,PRKAA2
KIRC,RSF,17,NTHL1
KIRC,RSF,18,COL4A4
KIRC,RSF,19,L3MBTL4
KIRC,RSF,20,POLE2
KIRC,DeepSurv,1,TPSD1
KIRC,DeepSurv,2,SPATC1
KIRC,DeepSurv,3,ESYT3
KIRC,DeepSurv,4,HOXA2
KIRC,DeepSurv,5,RALYL
KIRC,DeepSurv,6,ZNF880
KIRC,DeepSurv,7,CYP3A7
KIRC,DeepSurv,8,CTSE
KIRC,DeepSurv,9,CLEC4G
KIRC,DeepSurv,10,PEBP4
KIRC,DeepSurv,11,TMED6
KIRC,DeepSurv,12,C1orf204
KIRC,DeepSurv,13,LEFTY2
KIRC,DeepSurv,14,PCDHGA1
KIRC,DeepSurv,15,CMTM5
KIRC,DeepSurv,16,HIST1H1T
KIRC,DeepSurv,17,RERGL
KIRC,DeepSurv,18,DMRTA1
KIRC,DeepSurv,19,IL23R
KIRC,DeepSurv,20,C15orf26
COAD,MKG,1,LRRC69
COAD,MKG,2,GPR156
COAD,MKG,3,TAS2R20
COAD,MKG,4,PANX2
COAD,MKG,5,ANKRD24
COAD,MKG,6,PRR4
COAD,MKG,7,KRT4
COAD,MKG,8,NKAIN4
COAD,MKG,9,KNDC1
COAD,MKG,10,PPFIA4
COAD,MKG,11,MBL1P
COAD,MKG,12,C1orf61
COAD,MKG,13,KCNMB3
COAD,MKG,14,CRHR1
COAD,MKG,15,PPARGC1A
COAD,MKG,16,GABRD
COAD,MKG,17,TIGD1
COAD,MKG,18,HMX2
COAD,MKG,19,CCDC114
COAD,MKG,20,LRRN4
COAD,GR-SAFS_coexpr,1,LRRC69
COAD,GR-SAFS_coexpr,2,GPR156
COAD,GR-SAFS_coexpr,3,ANKRD24
COAD,GR-SAFS_coexpr,4,TAS2R20
COAD,GR-SAFS_coexpr,5,PRR4
COAD,GR-SAFS_coexpr,6,PANX2
COAD,GR-SAFS_coexpr,7,KNDC1
COAD,GR-SAFS_coexpr,8,KRT4
COAD,GR-SAFS_coexpr,9,C1orf61
COAD,GR-SAFS_coexpr,10,PPFIA4
COAD,GR-SAFS_coexpr,11,MBL1P
COAD,GR-SAFS_coexpr,12,KCNMB3
COAD,GR-SAFS_coexpr,13,PPARGC1A
COAD,GR-SAFS_coexpr,14,CRHR1
COAD,GR-SAFS_coexpr,15,CCDC114
COAD,GR-SAFS_coexpr,16,NKAIN4
COAD,GR-SAFS_coexpr,17,HMX2
COAD,GR-SAFS_coexpr,18,TIGD1
COAD,GR-SAFS_coexpr,19,LRRN4
COAD,GR-SAFS_coexpr,20,LRP2
COAD,MKG_equal,1,LRRC69
COAD,MKG_equal,2,GPR156
COAD,MKG_equal,3,ANKRD24
COAD,MKG_equal,4,PANX2
COAD,MKG_equal,5,TAS2R20
COAD,MKG_equal,6,PRR4
COAD,MKG_equal,7,KNDC1
COAD,MKG_equal,8,KRT4
COAD,MKG_equal,9,PPFIA4
COAD,MKG_equal,10,NKAIN4
COAD,MKG_equal,11,MBL1P
COAD,MKG_equal,12,C1orf61
COAD,MKG_equal,13,KCNMB3
COAD,MKG_equal,14,CRHR1
COAD,MKG_equal,15,PPARGC1A
COAD,MKG_equal,16,HMX2
COAD,MKG_equal,17,LRRN4
COAD,MKG_equal,18,GABRD
COAD,MKG_equal,19,TIGD1
COAD,MKG_equal,20,CCDC114
COAD,Cox-Lasso,1,CD1B
COAD,Cox-Lasso,2,C12orf56
COAD,Cox-Lasso,3,GPR55
COAD,Cox-Lasso,4,CECR6
COAD,Cox-Lasso,5,CUZD1
COAD,Cox-Lasso,6,ARMC3
COAD,Cox-Lasso,7,C9orf96
COAD,Cox-Lasso,8,BCL2L15
COAD,Cox-Lasso,9,GJA3
COAD,Cox-Lasso,10,DEPDC4
COAD,Cox-Lasso,11,TLE6
COAD,Cox-Lasso,12,ABCC11
COAD,Cox-Lasso,13,ACOXL
COAD,Cox-Lasso,14,AADAT
COAD,Cox-Lasso,15,C2CD4D
COAD,Cox-Lasso,16,GPRC5B
COAD,Cox-Lasso,17,C2orf16
COAD,Cox-Lasso,18,ZDHHC8
COAD,Cox-Lasso,19,HAR1A
COAD,Cox-Lasso,20,MBL1P
COAD,Cox-EN,1,C12orf56
COAD,Cox-EN,2,CD1B
COAD,Cox-EN,3,GPR55
COAD,Cox-EN,4,CUZD1
COAD,Cox-EN,5,CECR6
COAD,Cox-EN,6,C9orf96
COAD,Cox-EN,7,ARMC3
COAD,Cox-EN,8,AADAT
COAD,Cox-EN,9,MBL1P
COAD,Cox-EN,10,ANKRD24
COAD,Cox-EN,11,GPR150
COAD,Cox-EN,12,ACOXL
COAD,Cox-EN,13,C2CD4D
COAD,Cox-EN,14,GJA3
COAD,Cox-EN,15,LRRC69
COAD,Cox-EN,16,C2orf16
COAD,Cox-EN,17,ZDHHC19
COAD,Cox-EN,18,PNLDC1
COAD,Cox-EN,19,BHMT
COAD,Cox-EN,20,CD1A
COAD,Uni-Cox,1,CCKBR
COAD,Uni-Cox,2,CRHR1
COAD,Uni-Cox,3,ANKRD24
COAD,Uni-Cox,4,SLC30A3
COAD,Uni-Cox,5,MBL1P
COAD,Uni-Cox,6,NKAIN4
COAD,Uni-Cox,7,PPFIA4
COAD,Uni-Cox,8,GPR156
COAD,Uni-Cox,9,ACTN2
COAD,Uni-Cox,10,SLC46A2
COAD,Uni-Cox,11,PANX2
COAD,Uni-Cox,12,LRP2
COAD,Uni-Cox,13,CCDC151
COAD,Uni-Cox,14,CUZD1
COAD,Uni-Cox,15,HIST1H4H
COAD,Uni-Cox,16,C9orf96
COAD,Uni-Cox,17,ATP6V1B1
COAD,Uni-Cox,18,FTCD
COAD,Uni-Cox,19,NOG
COAD,Uni-Cox,20,PEX5L
COAD,RSF,1,B4GALNT3
COAD,RSF,2,GTF2IRD2B
COAD,RSF,3,HMX2
COAD,RSF,4,HPR
COAD,RSF,5,GLIS1
COAD,RSF,6,CYP7A1
COAD,RSF,7,CEACAM18
COAD,RSF,8,TPSD1
COAD,RSF,9,FEV
COAD,RSF,10,LDLRAD3
COAD,RSF,11,KCNJ9
COAD,RSF,12,TTC18
COAD,RSF,13,PRG2
COAD,RSF,14,CAPN14
COAD,RSF,15,ABCA6
COAD,RSF,16,ABCA5
COAD,RSF,17,ABCA4
COAD,RSF,18,ABCA3
COAD,RSF,19,ABCA2
COAD,RSF,20,ABCA17P
COAD,DeepSurv,1,ZYG11A
COAD,DeepSurv,2,ZSWIM5
COAD,DeepSurv,3,ZSWIM3
COAD,DeepSurv,4,ZSCAN4
COAD,DeepSurv,5,ZSCAN23
COAD,DeepSurv,6,ZSCAN18
COAD,DeepSurv,7,ZSCAN12
COAD,DeepSurv,8,ZRANB3
COAD,DeepSurv,9,ZPLD1
COAD,DeepSurv,10,ZP3
COAD,DeepSurv,11,ZP2
COAD,DeepSurv,12,ZNRF3
COAD,DeepSurv,13,ZNHIT2
COAD,DeepSurv,14,ZNF98
COAD,DeepSurv,15,ZNF93
COAD,DeepSurv,16,ZNF90
COAD,DeepSurv,17,ZNF880
COAD,DeepSurv,18,ZNF879
COAD,DeepSurv,19,ZNF878
COAD,DeepSurv,20,ZNF876P
STAD,MKG,1,PCDHB5
STAD,MKG,2,APOH
STAD,MKG,3,APOD
STAD,MKG,4,SERPINE1
STAD,MKG,5,PRR15L
STAD,MKG,6,CD82
STAD,MKG,7,RAB11FIP4
STAD,MKG,8,NT5E
STAD,MKG,9,MKNK2
STAD,MKG,10,MATN3
STAD,MKG,11,CPNE8
STAD,MKG,12,TF
STAD,MKG,13,SYN2
STAD,MKG,14,TCF7L1
STAD,MKG,15,FAAH
STAD,MKG,16,PACS1
STAD,MKG,17,TNFAIP2
STAD,MKG,18,ANKRD1
STAD,MKG,19,NETO2
