Cancer,Repeat,Seed,Method,Status,Error,Subsample n,Event n,Top20 indices,Top20 genes,Elapsed sec
LIHC,3,44,Uni-Cox,ok,,286,96,1163;2875;6705;180;6900;5954;4595;149;1374;4869;4914;6417;1596;6710;6190;6644;70;987;5427;6919,CBX2;FTCD;SLC2A1;ADH4;SOCS2;RAMP3;MGMT;ADAMTS5;CDCA8;NBPF4;NEIL3;SEC31B;CLEC3B;SLC2A2;RNF24;SLC1A5;ACAT1;C5orf30;PFKFB4;SOX11,0.11175990104675293
LIHC,3,44,Cox-Lasso,ok,,286,96,1521;4874;1112;7944;8176;337;5872;3524;6066;915;1652;1208;4964;119;2875;6374;788;2458;1638;6918,CHRNA4;NCAN;CAPG;WNT1;ZNF582;ANGPT4;PTPRR;HOXD10;RETN;C1orf227;CNR2;CCDC36;NKD2;ADAD2;FTCD;SCN2B;C10orf55;EYA1;CMYA5;SOX10,1.1732418537139893
LIHC,3,44,Cox-EN,ok,,286,96,4874;1521;6066;915;788;5872;694;3886;8176;4692;1520;4964;1638;1208;3524;7944;2875;4849;6374;2725,NCAN;CHRNA4;RETN;C1orf227;C10orf55;PTPRR;BDNF;KCNC2;ZNF582;MS4A10;CHRNA3;NKD2;CMYA5;CCDC36;HOXD10;WNT1;FTCD;NAPSA;SCN2B;FFAR3,1.6098275184631348
LIHC,3,44,CGBoost,ok,,286,96,1164;150;3758;6901;2726;6067;2876;3525;6706;6769;6418;7945;6548;7935;746;1375;6501;4596;4870;4875,CBX6;ADAMTS6;INPP5D;SOCS3;FGA;RETSAT;FTL;HOXD11;SLC2A10;SLC4A11;SECISBP2L;WNT10A;SHMT1;WIF1;BPHL;CDCP1;SGCD;MGP;NBPF9;NCAPD2,35.85117793083191
LIHC,3,44,RSF,ok,,286,96,6900;2725;1163;149;6417;1117;6547;690;1495;0;6021;1549;2466;4595;7912;6705;6180;3138;5367;4631,SOCS2;FFAR3;CBX2;ADAMTS5;SEC31B;CAPN3;SHISA9;BDH1;CHGA;A1BG;RBP4;CISH;F11;MGMT;WDHD1;SLC2A1;RNF17;GOT2;PDE2A;MMP1,10.909743309020996
LIHC,4,45,MKG,ok,,286,101,1163;2716;5816;6986;2805;2854;6877;6310;5954;7578;3029;2404;6644;6919;7336;1356;4016;5639;4304;7591,CBX2;FER1L5;PSRC1;SPP1;FMO9P;FRMD1;SNED1;S100A9;RAMP3;TPTE;GHR;EPO;SLC1A5;SOX11;TINAG;CDC20;KIF20A;POU2F1;LPCAT1;TREM1,53.43289113044739
LIHC,4,45,Uni-Cox,ok,,286,101,4869;2805;1163;1019;7591;4255;6705;5816;6644;5427;6796;7251;1374;6986;4304;6622;5954;1377;4732;1464,NBPF4;FMO9P;CBX2;C8orf22;TREM1;LIMS2;SLC2A1;PSRC1;SLC1A5;PFKFB4;SLC6A3;TDRD5;CDCA8;SPP1;LPCAT1;SLC16A3;RAMP3;CDH10;MTMR2;CEP55,0.09116625785827637
LIHC,4,45,Cox-Lasso,ok,,286,101,6291;1521;7077;6689;6374;6895;6796;5216;6066;86;6355;212;5632;995;2458;915;1614;1923;7017;4662,RXFP1;CHRNA4;STK32B;SLC26A3;SCN2B;SNX32;SLC6A3;OXT;RETN;ACOXL;SCARNA9;AGAP8;POPDC2;C5orf58;EYA1;C1orf227;CLLU1;CYP2D7P1;SRL;MORN4,1.223215103149414
LIHC,4,45,Cox-EN,ok,,286,101,6291;6689;6895;6374;7077;915;86;1521;6796;6860;995;8176;6355;6066;5216;3031;212;7017;2918;5139,RXFP1;SLC26A3;SNX32;SCN2B;STK32B;C1orf227;ACOXL;CHRNA4;SLC6A3;SMPDL3A;C5orf58;ZNF582;SCARNA9;RETN;OXT;GHRL;AGAP8;SRL;GABRG1;OCLM,1.9118549823760986
LIHC,4,45,CGBoost,ok,,286,101,7078;3758;6797;5640;1164;1136;5900;5588;6328;4256;916;4870;8177;2806;1375;2855;7592;5927;2726;744,STK32C;INPP5D;SLC6A4;POU2F2;CBX6;CASP5;QDPR;PLS1;SAMD14;LIN28B;C1orf228;NBPF9;ZNF583;FMOD;CDCP1;FRMD3;TREM2;RAB3D;FGA;BOK,35.31371212005615
LIHC,4,45,RSF,ok,,286,101,5816;1163;4595;6705;2805;2009;1135;4869;7579;4016;7096;1549;7458;5507;4645;6877;6919;7716;4274;5639,PSRC1;CBX2;MGMT;SLC2A1;FMO9P;DDTL;CASP12;NBPF4;TPX2;KIF20A;STX1A;CISH;TMEM67;PKIB;MMP3;SNED1;SOX11;TTK;LMNB2;POU2F1,12.775045156478882
LIHC,5,46,MKG,ok,,286,104,1163;6986;6705;7621;2404;2924;2768;2359;2805;6310;1508;4729;7703;3524;5816;3029;6900;6672;4170;4304,CBX2;SPP1;SLC2A1;TRIM54;EPO;GAD1;FIBCD1;ENO1;FMO9P;S100A9;CHODL;MTHFS;TTC26;HOXD10;PSRC1;GHR;SOCS2;SLC25A15;LCAT;LPCAT1,54.06773805618286
LIHC,5,46,Uni-Cox,ok,,286,104,1163;6705;6986;1377;5427;1019;6900;7703;2805;2359;1374;792;7591;1508;4304;2332;4914;4919;2924;2404,CBX2;SLC2A1;SPP1;CDH10;PFKFB4;C8orf22;SOCS2;TTC26;FMO9P;ENO1;CDCA8;C10orf91;TREM1;CHODL;LPCAT1;EMCN;NEIL3;NELL1;GAD1;EPO,0.10779333114624023
