Cancer,Method,n_subsamples,n_pairs,normalized_RBO20,Jaccard,Route weights,QP weights,QP source,Stability estimand,Sampling
COAD,RSF,30,435,0.0599448885783396,0.0646027388847929,"{""cnv"": 0.1658372552927882, ""coexpr"": 0.0, ""meth"": 0.8341627447072119}","[0.4990898518475916, 0.5009101481524084]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
STAD,MKG,30,435,0.1826109169222513,0.1461412486674473,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}","[0.5026600026922114, 0.4973399973077885]",deterministically recomputed from full development cohort,conditional fused ranking after route/hyperparameter lock,30 x 80% without replacement
STAD,Uni-Cox,30,435,0.2190837902692684,0.1553616506080027,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}","[0.5026600026922114, 0.4973399973077885]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
STAD,Cox-Lasso,30,435,0.1390742633773261,0.0981072511767091,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}","[0.5026600026922114, 0.4973399973077885]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
STAD,Cox-EN,30,435,0.2223682016679989,0.1386001188408059,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}","[0.5026600026922114, 0.4973399973077885]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
STAD,CGBoost,30,435,0.1697452522954965,0.1553847209773815,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}","[0.5026600026922114, 0.4973399973077885]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
STAD,RSF,30,435,0.0639812196819216,0.0591623667743677,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}","[0.5026600026922114, 0.4973399973077885]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
HNSC,MKG,30,435,0.3435615583047003,0.2348408403437519,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}","[0.49035587114979695, 0.509644128850203]",deterministically recomputed from full development cohort,conditional fused ranking after route/hyperparameter lock,30 x 80% without replacement
HNSC,Uni-Cox,30,435,0.2295420223096538,0.2380253298701468,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}","[0.49035587114979695, 0.509644128850203]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
HNSC,Cox-Lasso,30,435,0.101789640447889,0.0859032380492413,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}","[0.49035587114979695, 0.509644128850203]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
HNSC,Cox-EN,30,435,0.1820614632170817,0.1281446166631632,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}","[0.49035587114979695, 0.509644128850203]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
HNSC,CGBoost,30,435,0.2598224968254213,0.2141812988434318,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}","[0.49035587114979695, 0.509644128850203]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
HNSC,RSF,30,435,0.1593612614896548,0.1142333689524066,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 1.0}","[0.49035587114979695, 0.509644128850203]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
