Cancer,Repeat,Seed,Method,Status,Error,Subsample n,Event n,Top20 indices,Top20 genes,Elapsed sec
LUAD,3,44,Uni-Cox,ok,,352,129,5512;743;2058;4667;3775;7833;3070;4269;368;1884;2429;6735;1938;4832;1967;5698;773;5588;92;7373,PITX3;BZRAP1;DKK1;MOCS1;IRX5;VAX1;GLS2;LINGO2;ANLN;CXCL17;ESYT3;SLC47A1;CYP4B1;MYOZ1;DAPK2;PPP1R13B;C11orf92;PLEKHB1;ACSS1;TMEM125,0.08830785751342773
LUAD,3,44,Cox-Lasso,ok,,352,129,6929;4882;91;6857;3559;7236;2571;8049;1904;7503;4119;4269;310;4222;551;643;1566;5477;447;4025,SPATA22;NCAM2;ACSM5;SNTG2;HSPA6;TDRD1;FAM41C;ZNF233;CYP17A1;TNFSF14;KRT38;LINGO2;AMIGO1;LGALS9B;ATP13A5;BCAT1;CLC;PHOX2A;ARG1;KIR2DL3,1.2700674533843994
LUAD,3,44,Cox-EN,ok,,352,129,6929;8049;5477;7236;447;1904;551;4882;7503;4222;903;91;7626;4367;4119;643;7650;8053;5362;1566,SPATA22;ZNF233;PHOX2A;TDRD1;ARG1;CYP17A1;ATP13A5;NCAM2;TNFSF14;LGALS9B;C20orf202;ACSM5;TRPC6;LRRC3B;KRT38;BCAT1;TSPAN11;ZNF257;PCDHGA4;CLC,1.8924968242645264
LUAD,3,44,CGBoost,ok,,352,129,4198;2059;4091;5513;5653;4270;1905;8054;1567;744;7691;7259;2482;3521;4026;639;92;507;7627;4668,LEAP2;DKK2;KLRK1;PIWIL1;POLR3H;LINGO3;CYP19A1;ZNF280A;CLCA1;C10orf10;TTLL3;TEX15;FAIM2;HRG;KIR2DL4;BCAR3;ACSS1;ASB4;TRPM2;MOGAT2,22.12288188934326
LUAD,3,44,RSF,ok,,352,129,1904;4269;6408;233;1091;5588;2058;2603;8147;5512;4197;743;33;6116;2413;6127;3772;1063;3197;3011,CYP17A1;LINGO2;SEC14L4;AHSG;CAMK1D;PLEKHB1;DKK1;FAM83A;ZNF682;PITX3;LDLRAD3;BZRAP1;ABCC2;RHCG;ERO1L;RHOV;IRX2;CACNB1;GPR98;GGTLC1,6.726819276809692
LUAD,4,45,MKG,ok,,352,128,2058;5512;8013;2603;3636;1967;3070;7833;2759;3101;2429;33;2681;3775;7237;4139;2360;4124;2447;7839,DKK1;PITX3;ZFP3;FAM83A;IGF2BP1;DAPK2;GLS2;VAX1;FLNC;GNMT;ESYT3;ABCC2;FCRL1;IRX5;TDRD10;KSR2;ENPP4;KRT6A;EXO1;VEGFC,38.462801456451416
LUAD,4,45,Uni-Cox,ok,,352,128,5512;7833;6080;2058;8013;6931;3636;6127;233;2361;5588;3070;368;1143;7237;3640;695;4431;2429;3740,PITX3;VAX1;RFPL4B;DKK1;ZFP3;SPATA6;IGF2BP1;RHOV;AHSG;ENPP5;PLEKHB1;GLS2;ANLN;CBFA2T3;TDRD10;IGFBP1;BMP5;LYPD3;ESYT3;INPP5J,0.08925580978393555
LUAD,4,45,Cox-Lasso,ok,,352,128,7626;1904;4197;6857;1667;8134;8049;4025;6636;5507;5191;7428;1068;6080;1261;7650;5988;7236;448;3423,TRPC6;CYP17A1;LDLRAD3;SNTG2;CNTLN;ZNF625;ZNF233;KIR2DL3;SLC1A4;PIRT;OPRD1;TMEM38A;CACNG4;RFPL4B;CCND1;TSPAN11;RAPSN;TDRD1;ARG2;HIST1H3J,1.0381369590759277
LUAD,4,45,Cox-EN,ok,,352,128,1904;6857;7626;5512;6679;4197;1667;8049;6929;7236;4201;5140;3727;1566;4025;5638;4119;6636;5191;825,CYP17A1;SNTG2;TRPC6;PITX3;SLC27A5;LDLRAD3;CNTLN;ZNF233;SPATA22;TDRD1;LEFTY1;NXPH1;IMPG1;CLC;KIR2DL3;PNMT;KRT38;SLC1A4;OPRD1;C17orf99,1.5958619117736816
LUAD,4,45,CGBoost,ok,,352,128,5513;4026;6081;4198;2059;6858;1905;1567;2362;1600;6932;7834;1629;7237;8014;6128;4091;1245;2755;1811,PIWIL1;KIR2DL4;RFTN1;LEAP2;DKK2;SNTN;CYP19A1;CLCA1;ENPP6;CLEC18A;SPATA9;VAX2;CLMN;TDRD10;ZFP36;RHPN1;KLRK1;CCL21;FKBP9L;CRYBB3,26.32890748977661
