Cancer,Repeat,Seed,Method,Status,Error,Subsample n,Event n,Top20 indices,Top20 genes,Elapsed sec
HNSC,3,44,Uni-Cox,ok,,410,173,8200;2528;6658;2708;3980;7601;6100;4067;3199;2060;1085;1586;4590;6242;7821;2848;7912;432;2843;2833,ZNF763;FAM162B;SLC25A45;FGD3;KIAA1683;TRIML2;RGS5;KLK3;GRAP;DKK1;CAMK2N1;CLEC3B;MEIS1;RSPO1;VILL;FRZB;WNT7A;AQP1;FRMD5;FRAT1,0.171431303024292
HNSC,3,44,Cox-Lasso,ok,,410,173,1925;5820;1372;7831;3472;7861;6148;6202;410;6940;7641;2125;1453;1088;890;4521;7353;5268;2411;8147,CYP2W1;PRSS35;CDH19;VNN2;HOXB8;WBSCR28;RNASE10;RPGRIP1;APOB;SPINK6;TSPAN19;DNASE1L2;CFHR1;CAMKV;C20orf195;MAPK11;TMEM114;P2RX6;ERMN;ZNF605,2.5027003288269043
HNSC,3,44,Cox-EN,ok,,410,173,1372;1925;5820;6940;3201;1453;7783;6148;7641;6202;7353;5474;2125;3472;5268;7776;3264;1387;1981;7717,CDH19;CYP2W1;PRSS35;SPINK6;GRAPL;CFHR1;USH2A;RNASE10;TSPAN19;RPGRIP1;TMEM114;PGC;DNASE1L2;HOXB8;P2RX6;UPK2;GTSF1;CDK20;DCDC2;TYMS,4.40308952331543
HNSC,3,44,CGBoost,ok,,410,173,4068;7777;7602;6941;7764;828;4544;5766;6832;1089;7913;8201;2844;6659;3200;6149;4206;2529;2061;5475,KLK4;UPK3A;TRIO;SPINK7;UNC13D;C19orf60;MASP2;PRKAR2A;SNAP91;CAMP;WNT7B;ZNF767;FRMPD1;SLC26A1;GRAP2;RNASE2;LCOR;FAM163A;DKK2;PGD,53.4146614074707
HNSC,3,44,RSF,ok,,410,173,827;7205;919;6404;1039;2670;4611;5474;26;2299;2461;3640;5701;3855;5765;4543;7942;7776;5812;7044,C19orf59;TCP11;C2orf70;SEMA3A;CACNA1A;FCGBP;MFAP4;PGC;ABCB4;EIF5A2;F2RL1;IGJ;PPFIA3;KCNA3;PRKAR1B;MASP1;YPEL1;UPK2;PRSS12;STC2,13.513481616973877
HNSC,4,45,MKG,ok,,410,171,4543;2060;6949;5202;1898;919;1431;7821;4321;1613;5170;1085;1478;5268;1077;5820;827;2708;188;2449,MASP1;DKK1;SPOCK1;OLR1;CYP19A1;C2orf70;CELSR3;VILL;LMX1B;CLTCL1;OAF;CAMK2N1;CHGB;P2RX6;CALML5;PRSS35;C19orf59;FGD3;ADPRHL1;EXPH5,111.29557418823242
HNSC,4,45,Uni-Cox,ok,,410,171,2060;5170;1085;919;2843;7309;7821;4067;2801;188;2275;6949;6253;1431;1077;5043;1478;1898;2478;4321,DKK1;OAF;CAMK2N1;C2orf70;FRMD5;TIMP4;VILL;KLK3;FOXA2;ADPRHL1;EFNB2;SPOCK1;RTN4R;CELSR3;CALML5;NOG;CHGB;CYP19A1;FADS3;LMX1B,0.15574097633361816
HNSC,4,45,Cox-Lasso,ok,,410,171,3472;82;1372;7641;903;3201;7353;4348;5820;2263;1810;4119;38;284;4067;7424;772;1898;7912;7420,HOXB8;ACP6;CDH19;TSPAN19;C21orf91;GRAPL;TMEM114;LPL;PRSS35;EFCAB10;CSGALNACT1;KRT39;ABCC8;ALDH8A1;KLK3;TMEM74;C12orf40;CYP19A1;WNT7A;TMEM59L,2.1414177417755127
HNSC,4,45,Cox-EN,ok,,410,171,1372;3201;3472;4348;1898;903;4067;82;7353;5820;5253;7641;5113;931;7424;4385;5670;2230;1810;772,CDH19;GRAPL;HOXB8;LPL;CYP19A1;C21orf91;KLK3;ACP6;TMEM114;PRSS35;OTUD7A;TSPAN19;NRG3;C3orf35;TMEM74;LRRC20;PON1;DYX1C1;CSGALNACT1;C12orf40,3.2237253189086914
HNSC,4,45,CGBoost,ok,,410,171,4068;6254;2061;1432;5171;4544;1899;3202;5254;2709;4651;4120;164;3721;7310;6941;6660;3205;4206;7913,KLK4;RTN4RL1;DKK2;CEMP1;OAS1;MASP2;CYP1A1;GRASP;OTX1;FGD5;MKX;KRT4;ADCY4;INA;TINAG;SPINK7;SLC26A10;GRB7;LCOR;WNT7B,36.770957469940186
