Cancer,n,p,directional_hypotheses,BH cutoff,retained directional edges,old undirected edges,directional-max undirected edges,old density,directional-max density,edge_intersection,edge_union,edge_jaccard,sampled_union_n,sampled_weight_spearman,relative_frobenius_difference
LUAD,440,8207,67346642,0.0016030743718147278,13886429,6907727,12384914,0.20513946337517466,0.36779603651211,6907723,12384918,0.5577528248471245,1000000,0.34728760726633445,0.9456838369369507
LIHC,358,8286,68649510,0.004450667649507523,21048805,10605189,17471233,0.3089661965540613,0.5089980394616073,10605182,17471240,0.607007974247964,1000000,0.42618146464248713,0.8615370988845825
KIRC,311,8235,67806990,0.008057891391217709,15538644,7764199,13616015,0.22900880867886925,0.40161095485878373,7764195,13616019,0.5702250415484879,1000000,0.3704020323224141,0.9196181297302246
COAD,270,8203,67281006,0.013613948598504066,20217010,10138651,17103505,0.30138226530084883,0.5084200138148945,10138643,17103513,0.5927813192529512,1000000,0.3849559647554793,0.9134008884429932
STAD,362,8056,64891080,0.004232748877257109,21088897,10527994,17581250,0.3244820089294245,0.5418695450900185,10527989,17581255,0.5988189694080428,1000000,0.39391771328597075,0.9110684990882874
HNSC,513,8254,68120262,0.0006533514824695885,18276450,9244554,15737924,0.271418627250729,0.4620629321713413,9244551,15737927,0.587405888971273,1000000,0.38300609743136904,0.906505823135376
