Cancer,Method,Selected alpha,n_subsamples,n_pairs,normalized_RBO20,Jaccard,Stability estimand,Sampling
STAD,CV-Cox-Lasso,0.05537371291542491,30,435,0.15155883964919545,0.14259409967317274,method ranking conditional on development-CV-selected alpha,30 x 80% without replacement
STAD,CV-Cox-EN,0.11074742583084982,30,435,0.1639322607739364,0.14453229398610157,method ranking conditional on development-CV-selected alpha,30 x 80% without replacement
