Cancer,Repeat,Method,Selected alpha,Subsample n,Event n,Nonzero,Top20 indices,Top20 genes
LIHC,7,CV-Cox-EN,0.15827861698710272,286,101,43,3757;2805;986;8176;6101;149;6900;7591;3524;7077;1374;5376;745;6386;2725;1482;6618;4869;5598;6503,INPP4B;FMO9P;C5orf27;ZNF582;RGS20;ADAMTS5;SOCS2;TREM1;HOXD10;STK32B;CDCA8;PDE6A;BOP1;SCNN1G;FFAR3;CGNL1;SLC16A11;NBPF4;PM20D1;SGCZ
LIHC,8,CV-Cox-Lasso,0.07913930849355136,286,98,29,6120;1163;6900;6618;4600;149;2875;7944;5378;5630;2725;7640;351;6310;1638;2854;86;2536;1364;2805,RHEBL1;CBX2;SOCS2;SLC16A11;MIAT;ADAMTS5;FTCD;WNT1;PDE6C;PON1;FFAR3;TRNP1;ANKRD13B;S100A9;CMYA5;FRMD1;ACOXL;FAM161A;CDC42EP2;FMO9P
LIHC,8,CV-Cox-EN,0.15827861698710272,286,98,36,6120;1163;6900;2875;6618;149;7944;5378;4600;5630;2725;7640;6310;2854;351;2536;1638;2805;86;2359,RHEBL1;CBX2;SOCS2;FTCD;SLC16A11;ADAMTS5;WNT1;PDE6C;MIAT;PON1;FFAR3;TRNP1;S100A9;FRMD1;ANKRD13B;FAM161A;CMYA5;FMO9P;ACOXL;ENO1
LIHC,9,CV-Cox-Lasso,0.07913930849355136,286,96,34,1035;2854;6900;3479;5627;3757;86;5899;149;4255;1267;6500;1163;1482;7824;6937;3022;792;4494;2725,C9orf163;FRMD1;SOCS2;HMMR;POLR3G;INPP4B;ACOXL;PZP;ADAMTS5;LIMS2;CCNJL;SGCB;CBX2;CGNL1;UNC80;SPA17;GGN;C10orf91;MARCKSL1;FFAR3
LIHC,9,CV-Cox-EN,0.15827861698710272,286,96,41,1035;2854;6900;3479;5627;3757;86;5899;149;4255;1267;1163;6937;1482;6500;7824;792;4494;3022;1549,C9orf163;FRMD1;SOCS2;HMMR;POLR3G;INPP4B;ACOXL;PZP;ADAMTS5;LIMS2;CCNJL;CBX2;SPA17;CGNL1;SGCB;UNC80;C10orf91;MARCKSL1;GGN;CISH
LIHC,10,CV-Cox-Lasso,0.07913930849355136,286,104,35,149;3757;4600;6900;3530;6705;1163;6066;1374;5587;6101;4869;2875;1035;4874;1508;6374;4240;5378;2725,ADAMTS5;INPP4B;MIAT;SOCS2;HOXD9;SLC2A1;CBX2;RETN;CDCA8;PLOD2;RGS20;NBPF4;FTCD;C9orf163;NCAN;CHODL;SCN2B;LILRA3;PDE6C;FFAR3
LIHC,10,CV-Cox-EN,0.15827861698710272,286,104,50,6900;149;1163;3530;6705;3757;5587;6066;4600;4869;1374;6101;2875;1035;1508;4874;2725;2854;5378;861,SOCS2;ADAMTS5;CBX2;HOXD9;SLC2A1;INPP4B;PLOD2;RETN;MIAT;NBPF4;CDCA8;RGS20;FTCD;C9orf163;CHODL;NCAN;FFAR3;FRMD1;PDE6C;C19orf26
LIHC,11,CV-Cox-Lasso,0.07913930849355136,286,105,37,6900;1374;915;7077;3827;6937;6303;6618;3530;3757;149;986;1035;4595;5608;6500;745;3138;1163;8275,SOCS2;CDCA8;C1orf227;STK32B;ITGB7;SPA17;S100A16;SLC16A11;HOXD9;INPP4B;ADAMTS5;C5orf27;C9orf163;MGMT;PNLIPRP2;SGCB;BOP1;GOT2;CBX2;ZSCAN1
LIHC,11,CV-Cox-EN,0.15827861698710272,286,105,48,6900;1374;915;7077;986;3827;6618;149;6937;3530;6303;3757;1035;3138;5608;1163;6500;4595;8275;745,SOCS2;CDCA8;C1orf227;STK32B;C5orf27;ITGB7;SLC16A11;ADAMTS5;SPA17;HOXD9;S100A16;INPP4B;C9orf163;GOT2;PNLIPRP2;CBX2;SGCB;MGMT;ZSCAN1;BOP1
LIHC,12,CV-Cox-Lasso,0.07913930849355136,286,103,41,1163;5816;3524;3479;3757;1135;2404;7077;149;6900;7069;4987;3102;5708;5608;2247;5376;6705;3530;6369,CBX2;PSRC1;HOXD10;HMMR;INPP4B;CASP12;EPO;STK32B;ADAMTS5;SOCS2;STC2;NMNAT3;GNA14;PRDM12;PNLIPRP2;E2F5;PDE6A;SLC2A1;HOXD9;SCML4
