Cancer,Method,Selected alpha,n_subsamples,n_pairs,normalized_RBO20,Jaccard,Stability estimand,Sampling
LIHC,CV-Cox-Lasso,0.07913930849355136,30,435,0.19651979412307932,0.16570252094087162,method ranking conditional on development-CV-selected alpha,30 x 80% without replacement
LIHC,CV-Cox-EN,0.15827861698710272,30,435,0.19738080984634815,0.17240122251813356,method ranking conditional on development-CV-selected alpha,30 x 80% without replacement
