Cancer,Repeat,Method,Selected alpha,Subsample n,Event n,Nonzero,Top20 indices,Top20 genes
COAD,7,CV-Cox-EN,0.0055581024638697634,216,53,3968,7234;5393;3427;4759;4354;4596;1605;4170;1086;3;7211;3160;7544;7056;6618;3961;6909;6498;4002;3469,THEG;PEX5L;HMX2;MYH16;LRRC69;MLN;CLPS;LDHAL6A;CAMK2B;A2ML1;TFR2;GPR87;TRIM72;SYDE2;SLC27A2;KIAA1549;SPOCK3;SIGLEC14;KISS1;HOXD13
COAD,8,CV-Cox-Lasso,0.009051427265548676,216,55,2043,7201;7701;5393;78;4838;6660;7349;3878;1060;2959;1442;2684;8104;2079;2243;4218;4253;7336;5236;5472,TFAP2B;UGT3A1;PEX5L;ACMSD;NBPF16;SLC38A8;TMEM213;KCNJ6;CACNG7;GDF15;CER1;FEV;ZNF596;DMP1;EFCAB1;LHX1;LIPF;TMEM176A;PAPL;PITX2
COAD,8,CV-Cox-EN,0.0055581024638697634,216,55,4516,7201;7234;5393;1732;1060;4903;7701;3878;4220;1767;1605;1442;1507;5964;6909;2855;6488;728;4219;5143,TFAP2B;THEG;PEX5L;CPLX3;CACNG7;NEUROD2;UGT3A1;KCNJ6;LHX3;CRHR1;CLPS;CER1;CHRND;RAX;SPOCK3;FUT9;SHISA7;BTBD17;LHX2;OLIG2
COAD,9,CV-Cox-Lasso,0.009051427265548676,216,60,1015,7201;7701;1060;1732;4838;1767;1363;3314;8017;2855;4220;1442;189;4848;8149;5423;3878;7216;7255;728,TFAP2B;UGT3A1;CACNG7;CPLX3;NBPF16;CRHR1;CDH22;HCN4;ZNF365;FUT9;LHX3;CER1;ADRA1B;NCAN;ZNF738;PHF21B;KCNJ6;TGFB1I1;TIGD7;BTBD17
COAD,9,CV-Cox-EN,0.0055581024638697634,216,60,4659,7201;5393;7701;3878;1732;1060;6328;1767;717;4903;1507;6909;1853;4220;4354;2855;7856;1442;959;5964,TFAP2B;PEX5L;UGT3A1;KCNJ6;CPLX3;CACNG7;SCRT1;CRHR1;BPI;NEUROD2;CHRND;SPOCK3;CUX2;LHX3;LRRC69;FUT9;WNT3A;CER1;C5orf38;RAX
COAD,10,CV-Cox-Lasso,0.009051427265548676,216,51,2694,7201;6660;7196;6177;78;4838;3427;6763;7701;7933;6006;1803;6791;7921;1923;7540;2991;3046;7487;2855,TFAP2B;SLC38A8;TEX15;RPLP0P2;ACMSD;NBPF16;HMX2;SMAD3;UGT3A1;ZFP37;REG3G;CSMD1;SNCB;ZDHHC8;CYP7A1;TRIM67;GIMAP2;GLYATL1;TPRG1;FUT9
COAD,10,CV-Cox-EN,0.0055581024638697634,216,51,4431,7201;7701;4903;1732;1060;1442;4220;1853;728;1605;1507;6328;3314;6660;4848;6488;3862;7940;1767;6309,TFAP2B;UGT3A1;NEUROD2;CPLX3;CACNG7;CER1;LHX3;CUX2;BTBD17;CLPS;CHRND;SCRT1;HCN4;SLC38A8;NCAN;SHISA7;KCNH7;ZFR2;CRHR1;SCN1A
COAD,11,CV-Cox-Lasso,0.009051427265548676,216,53,3303,7201;1767;5172;3933;2875;5589;1612;4153;7701;2855;7731;7916;3724;6252;5187;2167;7475;3;15;5618,TFAP2B;CRHR1;ORM1;KHDC1L;G6PC;PNLDC1;CLUL1;LCE1E;UGT3A1;FUT9;USH1C;ZDHHC19;INTS4L1;S100Z;OTOP2;DRD5;TP53TG3B;A2ML1;ABCA13;POP1
COAD,11,CV-Cox-EN,0.0055581024638697634,216,53,4618,7201;5393;4903;1060;7701;6328;1732;4220;1853;3878;6909;1767;1507;1605;6488;1442;3862;4170;717;4838,TFAP2B;PEX5L;NEUROD2;CACNG7;UGT3A1;SCRT1;CPLX3;LHX3;CUX2;KCNJ6;SPOCK3;CRHR1;CHRND;CLPS;SHISA7;CER1;KCNH7;LDHAL6A;BPI;NBPF16
COAD,12,CV-Cox-Lasso,0.009051427265548676,216,51,3215,7201;2855;7701;1420;78;3314;7196;6311;5101;1577;5091;5819;6056;2385;4153;1959;3537;2101;4360;6595,TFAP2B;FUT9;UGT3A1;CELA2A;ACMSD;HCN4;TEX15;SCN2A;NUP210;CLEC18C;NUDT17;PTH2R;RGS22;ERBB4;LCE1E;DCAF4L2;HSPB9;DNAJB13;LRRIQ3;SLC24A2
