Cancer,Method,Selected alpha,n_subsamples,n_pairs,normalized_RBO20,Jaccard,Stability estimand,Sampling
HNSC,CV-Cox-Lasso,0.07012119620395202,30,435,0.26405582322759713,0.22049906446505177,method ranking conditional on development-CV-selected alpha,30 x 80% without replacement
HNSC,CV-Cox-EN,0.14024239240790404,30,435,0.27814757653228567,0.2287298411450331,method ranking conditional on development-CV-selected alpha,30 x 80% without replacement
