Cancer,Split seed,Train n,Test n,Test events,Gate margin,No-graph test C-index,Reconstructed C-index,Fixed C-index,Fixed minus reconstructed,Top-20 overlap,Top-20 Jaccard,Reconstructed mode,Fixed mode,Reconstructed weights,Fixed weights
LUAD,7301,308,132,47,0.0,0.521650087770626,0.521650087770626,0.521650087770626,0.0,20,1.0,reject_all_graphs,reject_all_graphs,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}","{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}"
LUAD,7301,308,132,47,0.005,0.521650087770626,0.521650087770626,0.521650087770626,0.0,20,1.0,reject_all_graphs,reject_all_graphs,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}","{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}"
LUAD,7301,308,132,47,0.01,0.521650087770626,0.521650087770626,0.521650087770626,0.0,20,1.0,reject_all_graphs,reject_all_graphs,"{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}","{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}"
