Seed,Train n,Test n,Test events,Route mode,Coexpression stability,Methylation stability,Copy-number stability,Coexpression OOF delta,Methylation OOF delta,Copy-number OOF delta,Coexpression weight,Methylation weight,Copy-number weight,MKG test C-index,Zero-graph test C-index,MKG minus zero
11,1062,354,208,reject_all_graphs,0.43448684417188177,0.5432500419398353,0.47987159781306304,-0.008644696442382083,-0.005292308184563721,-0.00983249574339462,0.0,0.0,0.0,0.5870143693453965,0.5870143693453965,0.0
29,1062,354,208,reject_all_graphs,0.5146840031234646,0.48109522801091603,0.5557173958688258,-0.002174093660257892,-0.002108821060040289,-0.0020254885090573715,0.0,0.0,0.0,0.5575865047969809,0.5575865047969809,0.0
42,1062,354,207,reject_all_graphs,0.4363909819726384,0.560446102458839,0.5299985678825243,-0.01056437446602998,-0.004554323684834327,-0.008182741473054755,0.0,0.0,0.0,0.5982923685906287,0.5982923685906287,0.0
71,1062,354,208,dual_driven,0.373888117421177,0.40502220948044376,0.3469273768068304,-0.0067633166149918544,-0.0033129079180392873,0.000504428010714153,0.0,0.0,1.0,0.6041382553491653,0.593581001645897,0.010557253703268321
113,1062,354,208,reject_all_graphs,0.5706710866064625,0.6756003816767339,0.6183289371683589,-0.010273641399593414,-0.006792990309399838,-0.012986500866833062,0.0,0.0,0.0,0.6406530193996134,0.6406530193996134,0.0
