Cancer,Split seed,Train n,Test n,Test events,Gate margin,No-graph test C-index,Reconstructed C-index,Fixed C-index,Fixed minus reconstructed,Top-20 overlap,Top-20 Jaccard,Reconstructed mode,Fixed mode,Reconstructed weights,Fixed weights
LUAD,42,308,132,47,0.0,0.5780525502318392,0.5545595054095827,0.5536321483771252,-0.0009273570324574987,19,0.9047619047619048,dual_driven,dual_driven,"{""cnv"": 0.45973799272664045, ""coexpr"": 0.5402620072733595, ""meth"": 0.0}","{""cnv"": 0.7241154789744957, ""coexpr"": 0.2758845210255044, ""meth"": 0.0}"
LUAD,42,308,132,47,0.005,0.5780525502318392,0.5545595054095827,0.5536321483771252,-0.0009273570324574987,19,0.9047619047619048,dual_driven,dual_driven,"{""cnv"": 0.45973799272664045, ""coexpr"": 0.5402620072733595, ""meth"": 0.0}","{""cnv"": 1.0, ""coexpr"": 0.0, ""meth"": 0.0}"
LUAD,42,308,132,47,0.01,0.5780525502318392,0.5545595054095827,0.5780525502318392,0.02349304482225656,18,0.8181818181818182,dual_driven,reject_all_graphs,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}","{""cnv"": 0.0, ""coexpr"": 0.0, ""meth"": 0.0}"
