Cancer,Method,alpha,full_fit_nonzero,eligible_at_least_top20,mean_validation_cindex,selected,fold_1_cindex,fold_2_cindex,fold_3_cindex,fold_4_cindex,fold_5_cindex
KIRC,CV-Cox-Lasso,0.24291663742246547,0,False,0.637194650708545,False,0.5976253298153035,0.717366628830874,0.6446499339498019,0.7263313609467456,0.5
KIRC,CV-Cox-Lasso,0.2158615093828815,2,False,0.6607403812911119,False,0.6451187335092349,0.699205448354143,0.6644649933949802,0.650887573964497,0.6440251572327044
KIRC,CV-Cox-Lasso,0.1918196782545555,6,False,0.6716920386580535,False,0.6701846965699209,0.695800227014756,0.6988110964332893,0.6257396449704142,0.6679245283018868
KIRC,CV-Cox-Lasso,0.17045553452707923,9,False,0.6882729624996984,False,0.6846965699208444,0.738933030646992,0.6948480845442536,0.636094674556213,0.6867924528301886
KIRC,CV-Cox-Lasso,0.15147084759653573,12,False,0.6871686153869911,False,0.6820580474934037,0.735527809307605,0.7040951122853368,0.6198224852071006,0.6943396226415094
KIRC,CV-Cox-Lasso,0.13460060264554258,15,False,0.6855450592059864,False,0.6807387862796834,0.7298524404086265,0.6961690885072656,0.6316568047337278,0.6893081761006289
KIRC,CV-Cox-Lasso,0.11960930119570812,21,True,0.6884741926798394,False,0.6820580474934037,0.7241770715096482,0.6974900924702774,0.6405325443786982,0.6981132075471698
KIRC,CV-Cox-Lasso,0.10628767369043718,27,True,0.6859298320444982,False,0.6820580474934037,0.70261066969353,0.6922060766182299,0.650887573964497,0.7018867924528301
KIRC,CV-Cox-Lasso,0.09444975821771809,32,True,0.6948111608166083,False,0.6820580474934037,0.6969353007945517,0.7107001321003963,0.6686390532544378,0.7157232704402515
KIRC,CV-Cox-Lasso,0.08393030459361739,37,True,0.7046574627392348,False,0.6820580474934037,0.695800227014756,0.7305151915455746,0.6878698224852071,0.7270440251572327
KIRC,CV-Cox-Lasso,0.07458246756904809,42,True,0.7042025572833194,False,0.6767810026385225,0.6901248581157775,0.7371202113606341,0.6849112426035503,0.7320754716981132
KIRC,CV-Cox-Lasso,0.06627575695836474,48,True,0.704253819073595,False,0.6662269129287599,0.6889897843359818,0.7424042272126816,0.6789940828402367,0.7446540880503144
KIRC,CV-Cox-Lasso,0.058894216074812746,60,True,0.705122653085801,True,0.6688654353562006,0.6878547105561862,0.7291941875825627,0.6937869822485208,0.7459119496855345
KIRC,CV-Cox-Lasso,0.052334803044885705,66,True,0.7041784582929682,False,0.6767810026385225,0.6889897843359818,0.7120211360634082,0.6997041420118343,0.7433962264150943
KIRC,CV-Cox-Lasso,0.04650595240571231,91,True,0.6989839492287427,False,0.6820580474934037,0.681044267877412,0.6935270805812418,0.7011834319526628,0.7371069182389937
KIRC,CV-Cox-Lasso,0.04132629690623691,100,True,0.699654406363806,False,0.6886543535620053,0.6946651532349603,0.6842800528401585,0.6923076923076923,0.7383647798742138
KIRC,CV-Cox-Lasso,0.03672353166930671,113,True,0.6938208187361098,False,0.6978891820580475,0.7003405221339387,0.6737120211360634,0.6701183431952663,0.7270440251572327
KIRC,CV-Cox-Lasso,0.032633404859050925,128,True,0.692322041331422,False,0.7084432717678101,0.6923950056753689,0.678996036988111,0.6597633136094675,0.7220125786163522
KIRC,CV-Cox-Lasso,0.028998820763875437,149,True,0.6898565364619973,False,0.7044854881266491,0.6923950056753689,0.6803170409511229,0.6538461538461539,0.7182389937106918
KIRC,CV-Cox-Lasso,0.025769042774650572,149,True,0.6897665732006358,False,0.712401055408971,0.6935300794551645,0.6750330250990753,0.650887573964497,0.7169811320754716
KIRC,CV-Cox-Lasso,0.022898985132146707,152,True,0.686302461390608,False,0.712401055408971,0.699205448354143,0.6644649933949802,0.643491124260355,0.7119496855345911
KIRC,CV-Cox-Lasso,0.020348583556937586,155,True,0.6853977825499933,False,0.716358839050132,0.7037457434733257,0.6644649933949802,0.6405325443786982,0.7018867924528301
KIRC,CV-Cox-Lasso,0.01808223597614317,166,True,0.6815146119563005,False,0.7097625329815304,0.7094211123723042,0.655217965653897,0.6375739644970414,0.6955974842767295
KIRC,CV-Cox-Lasso,0.016068305539893513,168,True,0.6795913616314944,False,0.7097625329815304,0.7128263337116912,0.655217965653897,0.6346153846153846,0.6855345911949685
KIRC,CV-Cox-Lasso,0.0142786789899223,170,True,0.679061150897029,False,0.7018469656992085,0.7185017026106697,0.6512549537648613,0.6331360946745562,0.690566037735849
KIRC,CV-Cox-Lasso,0.012688374215380998,176,True,0.6769913096041383,False,0.7031662269129287,0.7185017026106697,0.6486129458388376,0.6316568047337278,0.6830188679245283
KIRC,CV-Cox-Lasso,0.011275191517588802,184,True,0.6755329677265718,False,0.7018469656992085,0.720771850170261,0.6433289299867899,0.628698224852071,0.6830188679245283
KIRC,CV-Cox-Lasso,0.010019403715583833,185,True,0.6740749766591786,False,0.7018469656992085,0.7241770715096482,0.6393659180977543,0.6257396449704142,0.6792452830188679
KIRC,CV-Cox-Lasso,0.008903480766535412,185,True,0.6759402098490215,False,0.7018469656992085,0.7309875141884222,0.6393659180977543,0.6257396449704142,0.6817610062893081
KIRC,CV-Cox-Lasso,0.007911845056883887,187,True,0.6766990614718001,False,0.7071240105540897,0.7298524404086265,0.6367239101717305,0.6242603550295858,0.6855345911949685
KIRC,CV-Cox-Lasso,0.007030653948219436,190,True,0.6765799953179477,False,0.7058047493403694,0.7287173666288309,0.6354029062087186,0.628698224852071,0.6842767295597484
KIRC,CV-Cox-Lasso,0.006247606542371014,198,True,0.6759334610347165,False,0.7031662269129287,0.7309875141884222,0.6420079260237781,0.6242603550295858,0.6792452830188679
KIRC,CV-Cox-Lasso,0.005551771968262267,202,True,0.675265396042571,False,0.7044854881266491,0.7287173666288309,0.6446499339498019,0.6242603550295858,0.6742138364779874
KIRC,CV-Cox-Lasso,0.0049334367935221215,201,True,0.6767558035351453,False,0.7071240105540897,0.7298524404086265,0.6472919418758256,0.6227810650887574,0.6767295597484276
KIRC,CV-Cox-Lasso,0.004383969430807873,204,True,0.6757602233592708,False,0.7084432717678101,0.7275822928490352,0.6512549537648613,0.6198224852071006,0.6716981132075471
KIRC,CV-Cox-Lasso,0.0038956996460345395,203,True,0.6750129545524755,False,0.7071240105540897,0.7287173666288309,0.6512549537648613,0.621301775147929,0.6666666666666666
