Cancer,Method,alpha,full_fit_nonzero,eligible_at_least_top20,mean_validation_cindex,selected,fold_1_cindex,fold_2_cindex,fold_3_cindex,fold_4_cindex,fold_5_cindex
COAD,CV-Cox-EN,0.2431936269521115,0,False,0.5391116753543612,False,0.5241379310344828,0.6009501187648456,0.4064327485380117,0.6595330739299611,0.5045045045045045
COAD,CV-Cox-EN,0.2161076488757836,8,False,0.553261123645942,False,0.5241379310344828,0.5938242280285035,0.4152046783625731,0.6498054474708171,0.5833333333333334
COAD,CV-Cox-EN,0.192038403670074,10,False,0.5421902955393738,False,0.5586206896551724,0.5843230403800475,0.4064327485380117,0.632295719844358,0.5292792792792793
COAD,CV-Cox-EN,0.17064989914053344,20,True,0.5377506111908215,False,0.5172413793103449,0.5724465558194775,0.4239766081871345,0.632295719844358,0.5427927927927928
COAD,CV-Cox-EN,0.1516435646210921,27,True,0.5264393761203434,False,0.49310344827586206,0.5463182897862233,0.38011695906432746,0.622568093385214,0.5900900900900901
COAD,CV-Cox-EN,0.1347540831070394,41,True,0.5211865701251304,False,0.4724137931034483,0.5415676959619953,0.38011695906432746,0.5992217898832685,0.6126126126126126
COAD,CV-Cox-EN,0.11974568758912697,52,True,0.5211462076033934,False,0.45517241379310347,0.5415676959619953,0.37719298245614036,0.6011673151750972,0.6306306306306306
COAD,CV-Cox-EN,0.10640886988784493,69,True,0.5324876500535386,False,0.47586206896551725,0.5558194774346793,0.38011695906432746,0.6245136186770428,0.6261261261261262
COAD,CV-Cox-EN,0.0945574560451765,81,True,0.5399860565839495,False,0.4793103448275862,0.5629453681710214,0.40058479532163743,0.6264591439688716,0.6306306306306306
COAD,CV-Cox-EN,0.08402600744805794,103,True,0.535932003425509,False,0.4827586206896552,0.5700712589073634,0.3888888888888889,0.6050583657587548,0.6328828828828829
COAD,CV-Cox-EN,0.07466751140478939,118,True,0.5188099096533201,False,0.4482758620689655,0.5653206650831354,0.3888888888888889,0.5992217898832685,0.5923423423423423
COAD,CV-Cox-EN,0.06635132893623179,144,True,0.5097946739624257,False,0.43448275862068964,0.5653206650831354,0.38596491228070173,0.5933852140077821,0.5698198198198198
COAD,CV-Cox-EN,0.05896137113418836,161,True,0.5125910836980052,False,0.4379310344827586,0.5676959619952494,0.39473684210526316,0.5972762645914397,0.5653153153153153
COAD,CV-Cox-EN,0.052394478630030196,180,True,0.5220718027114808,False,0.46206896551724136,0.5795724465558195,0.4064327485380117,0.5992217898832685,0.5630630630630631
COAD,CV-Cox-EN,0.046558981551921806,192,True,0.5270156048485363,False,0.46206896551724136,0.5819477434679335,0.41812865497076024,0.603112840466926,0.5698198198198198
COAD,CV-Cox-EN,0.041373419868515365,212,True,0.532029580575436,False,0.47586206896551725,0.5890736342042755,0.42105263157894735,0.5953307392996109,0.5788288288288288
COAD,CV-Cox-EN,0.03676540625588074,220,True,0.5382035421621597,False,0.496551724137931,0.5914489311163895,0.4327485380116959,0.5914396887159533,0.5788288288288288
COAD,CV-Cox-EN,0.03267061561397725,232,True,0.5358987219844589,False,0.4896551724137931,0.5890736342042755,0.4327485380116959,0.5914396887159533,0.5765765765765766
COAD,CV-Cox-EN,0.02903188712692452,239,True,0.5353140045383931,False,0.4793103448275862,0.5961995249406176,0.4269005847953216,0.5953307392996109,0.5788288288288288
COAD,CV-Cox-EN,0.025798426332373562,248,True,0.5402798928627316,False,0.4724137931034483,0.6104513064133017,0.43567251461988304,0.5972762645914397,0.5855855855855856
COAD,CV-Cox-EN,0.02292509606134623,264,True,0.5410029344337539,False,0.4689655172413793,0.6104513064133017,0.43567251461988304,0.5953307392996109,0.5945945945945946
COAD,CV-Cox-EN,0.020371786350489335,274,True,0.538364481783579,False,0.4482758620689655,0.6199524940617577,0.4327485380116959,0.5894941634241245,0.6013513513513513
COAD,CV-Cox-EN,0.01810285453109735,278,True,0.5399778227542965,False,0.43448275862068964,0.6247030878859857,0.43859649122807015,0.5894941634241245,0.6126126126126126
COAD,CV-Cox-EN,0.016086627678882963,287,True,0.5440246253686489,False,0.43103448275862066,0.6270783847980997,0.4444444444444444,0.5914396887159533,0.6261261261261262
COAD,CV-Cox-EN,0.014294960478993413,294,True,0.5465528966785484,False,0.4241379310344828,0.6318289786223278,0.4415204678362573,0.5933852140077821,0.6418918918918919
COAD,CV-Cox-EN,0.012702842334334,302,True,0.5489027573418752,False,0.4241379310344828,0.6342042755344418,0.4444444444444444,0.5953307392996109,0.6463963963963963
COAD,CV-Cox-EN,0.01128804823266713,320,True,0.5514827692604085,False,0.4241379310344828,0.6342042755344418,0.4444444444444444,0.5992217898832685,0.6554054054054054
COAD,CV-Cox-EN,0.010030828498801488,332,True,0.5541626650581941,False,0.4241379310344828,0.6365795724465558,0.45321637426900585,0.5992217898832685,0.6576576576576577
COAD,CV-Cox-EN,0.008913633100998391,349,True,0.5543739107866813,False,0.4206896551724138,0.6365795724465558,0.45321637426900585,0.5992217898832685,0.6621621621621622
COAD,CV-Cox-EN,0.007920866663078473,362,True,0.5560046312571837,False,0.4206896551724138,0.6389548693586699,0.4502923976608187,0.6011673151750972,0.668918918918919
COAD,CV-Cox-EN,0.007038670762344992,374,True,0.5591955954637755,False,0.42758620689655175,0.6342042755344418,0.4444444444444444,0.6050583657587548,0.6846846846846847
COAD,CV-Cox-EN,0.006254730474333628,387,True,0.5590793288024931,False,0.43103448275862066,0.6247030878859857,0.4415204678362573,0.6089494163424124,0.6891891891891891
COAD,CV-Cox-EN,0.0055581024638697634,409,True,0.5618123438424212,True,0.42758620689655175,0.6318289786223278,0.4444444444444444,0.6070038910505836,0.6981981981981982
COAD,CV-Cox-EN,0.004939062222687763,418,True,0.5604363835590974,False,0.42758620689655175,0.6294536817102138,0.4444444444444444,0.6070038910505836,0.6936936936936937
COAD,CV-Cox-EN,0.0043889683211412265,437,True,0.5589922998851098,False,0.4241379310344828,0.6247030878859857,0.4473684210526316,0.6050583657587548,0.6936936936936937
COAD,CV-Cox-EN,0.0039001417790397014,451,True,0.5600767635211422,False,0.4241379310344828,0.6294536817102138,0.4502923976608187,0.6050583657587548,0.6914414414414415
COAD,CV-Cox-EN,0.003465758871701255,477,True,0.558909448346045,False,0.4241379310344828,0.6294536817102138,0.4502923976608187,0.5992217898832685,0.6914414414414415
COAD,CV-Cox-EN,0.003079755874857821,494,True,0.5596177617686666,False,0.4241379310344828,0.6365795724465558,0.4502923976608187,0.5933852140077821,0.6936936936936937
COAD,CV-Cox-EN,0.002736744418709477,503,True,0.5573292464974244,False,0.4241379310344828,0.6342042755344418,0.4473684210526316,0.5894941634241245,0.6914414414414415
