Cancer,Method,alpha,full_fit_nonzero,eligible_at_least_top20,mean_validation_cindex,selected,fold_1_cindex,fold_2_cindex,fold_3_cindex,fold_4_cindex,fold_5_cindex
COAD,CV-Cox-Lasso,0.12159681347605575,0,False,0.5355197742437285,False,0.5206896551724138,0.5985748218527316,0.4298245614035088,0.642023346303502,0.4864864864864865
COAD,CV-Cox-Lasso,0.1080538244378918,6,False,0.5529957060895003,False,0.5413793103448276,0.5843230403800475,0.41228070175438597,0.6459143968871596,0.581081081081081
COAD,CV-Cox-Lasso,0.096019201835037,10,False,0.5451797949179642,False,0.5655172413793104,0.5890736342042755,0.41812865497076024,0.6284046692607004,0.5247747747747747
COAD,CV-Cox-Lasso,0.08532494957026672,16,False,0.5382165392309158,False,0.5241379310344828,0.5653206650831354,0.4239766081871345,0.6303501945525292,0.5472972972972973
COAD,CV-Cox-Lasso,0.07582178231054605,23,True,0.5278485957747417,False,0.5103448275862069,0.5486935866983373,0.391812865497076,0.6050583657587548,0.5833333333333334
COAD,CV-Cox-Lasso,0.0673770415535197,34,True,0.5296609967525788,False,0.496551724137931,0.5344418052256532,0.4152046783625731,0.5894941634241245,0.6126126126126126
COAD,CV-Cox-Lasso,0.059872843794563486,42,True,0.5288004567942537,False,0.4793103448275862,0.5201900237529691,0.41812865497076024,0.6070038910505836,0.6193693693693694
COAD,CV-Cox-Lasso,0.05320443494392246,56,True,0.5397481705110401,False,0.46206896551724136,0.5344418052256532,0.4327485380116959,0.6478599221789884,0.6216216216216216
COAD,CV-Cox-Lasso,0.04727872802258825,64,True,0.5363810432980576,False,0.46206896551724136,0.5296912114014252,0.4327485380116959,0.6245136186770428,0.6328828828828829
COAD,CV-Cox-Lasso,0.04201300372402897,78,True,0.5188583817889396,False,0.46206896551724136,0.501187648456057,0.4152046783625731,0.6167315175097277,0.5990990990990991
COAD,CV-Cox-Lasso,0.037333755702394694,86,True,0.5023209359449625,False,0.42758620689655175,0.505938242280285,0.40350877192982454,0.6070038910505836,0.5675675675675675
COAD,CV-Cox-Lasso,0.033175664468115894,98,True,0.5044914671195336,False,0.4068965517241379,0.5225653206650831,0.41228070175438597,0.6108949416342413,0.5698198198198198
COAD,CV-Cox-Lasso,0.02948068556709418,110,True,0.506315878385251,False,0.41724137931034483,0.5296912114014252,0.4093567251461988,0.6167315175097277,0.5585585585585585
COAD,CV-Cox-Lasso,0.026197239315015098,117,True,0.5087426906370016,False,0.43448275862068964,0.5391923990498813,0.40058479532163743,0.6108949416342413,0.5585585585585585
COAD,CV-Cox-Lasso,0.023279490775960903,124,True,0.5090770505432045,False,0.4413793103448276,0.5344418052256532,0.41812865497076024,0.6108949416342413,0.5405405405405406
COAD,CV-Cox-Lasso,0.020686709934257683,132,True,0.5106232156890506,False,0.45517241379310347,0.5344418052256532,0.4327485380116959,0.5992217898832685,0.5315315315315315
COAD,CV-Cox-Lasso,0.01838270312794037,141,True,0.5189152320502652,False,0.47586206896551725,0.5273159144893111,0.45614035087719296,0.5992217898832685,0.536036036036036
COAD,CV-Cox-Lasso,0.016335307806988626,142,True,0.5269205583347729,False,0.4827586206896552,0.5368171021377672,0.47076023391812866,0.5992217898832685,0.545045045045045
COAD,CV-Cox-Lasso,0.01451594356346226,142,True,0.5294554298845944,False,0.4827586206896552,0.5368171021377672,0.4853801169590643,0.5972762645914397,0.545045045045045
COAD,CV-Cox-Lasso,0.012899213166186781,143,True,0.5331920776014478,False,0.4827586206896552,0.5344418052256532,0.49415204678362573,0.6050583657587548,0.5495495495495496
COAD,CV-Cox-Lasso,0.011462548030673115,145,True,0.53266062679095,False,0.4689655172413793,0.5368171021377672,0.49707602339181284,0.6108949416342413,0.5495495495495496
COAD,CV-Cox-Lasso,0.010185893175244667,147,True,0.5339507106257882,False,0.4586206896551724,0.5439429928741093,0.49415204678362573,0.6167315175097277,0.5563063063063063
COAD,CV-Cox-Lasso,0.009051427265548676,152,True,0.5433602034636075,True,0.4793103448275862,0.5463182897862233,0.5058479532163743,0.6245136186770428,0.5608108108108109
COAD,CV-Cox-Lasso,0.008043313839441481,156,True,0.5418595030925477,False,0.4724137931034483,0.5486935866983373,0.5,0.6206225680933852,0.5675675675675675
COAD,CV-Cox-Lasso,0.007147480239496707,161,True,0.5398255007319728,False,0.46551724137931033,0.5558194774346793,0.49707602339181284,0.6108949416342413,0.5698198198198198
COAD,CV-Cox-Lasso,0.006351421167167,157,True,0.5423097062664867,False,0.46551724137931033,0.5581947743467933,0.5029239766081871,0.6128404669260701,0.5720720720720721
COAD,CV-Cox-Lasso,0.005644024116333565,159,True,0.5376089882220781,False,0.4482758620689655,0.5629453681710214,0.5,0.6070038910505836,0.5698198198198198
