Cancer,Method,alpha,full_fit_nonzero,eligible_at_least_top20,mean_validation_cindex,selected,fold_1_cindex,fold_2_cindex,fold_3_cindex,fold_4_cindex,fold_5_cindex
LUAD,CV-Cox-Lasso,0.1552199268165691,0,False,0.5481880584837784,False,0.5077419354838709,0.5905233380480905,0.6142659279778393,0.5284090909090909,0.5
LUAD,CV-Cox-Lasso,0.13793212372956346,3,False,0.5854300315912231,False,0.5116129032258064,0.6230551626591231,0.6662049861495845,0.5482954545454546,0.5779816513761468
LUAD,CV-Cox-Lasso,0.12256977017538918,6,False,0.6068818593784335,False,0.5316129032258065,0.6294200848656294,0.6980609418282548,0.546875,0.6284403669724771
LUAD,CV-Cox-Lasso,0.10891841693312317,9,False,0.6103950730543405,False,0.5361290322580645,0.611032531824611,0.7160664819944599,0.5426136363636364,0.6461336828309305
LUAD,CV-Cox-Lasso,0.09678749931767165,15,False,0.6125618360978679,False,0.5380645161290323,0.6181046676096181,0.7195290858725761,0.546875,0.6402359108781127
LUAD,CV-Cox-Lasso,0.0860076770113195,26,True,0.6109689170620223,False,0.535483870967742,0.615983026874116,0.7105263157894737,0.5617897727272727,0.6310615989515073
LUAD,CV-Cox-Lasso,0.0764284701746896,31,True,0.6126635844647634,False,0.5419354838709678,0.6244695898161244,0.685595567867036,0.5802556818181818,0.6310615989515073
LUAD,CV-Cox-Lasso,0.06791615883864227,38,True,0.6157863335203329,False,0.5612903225806452,0.637906647807638,0.6717451523545707,0.5880681818181818,0.6199213630406291
LUAD,CV-Cox-Lasso,0.06035191625388857,46,True,0.6125559115778049,False,0.5748387096774193,0.635077793493635,0.6502770083102493,0.5944602272727273,0.6081258191349934
LUAD,CV-Cox-Lasso,0.05363015014099985,65,True,0.614809893817013,False,0.58,0.6357850070721358,0.6267313019390581,0.6044034090909091,0.627129750982962
LUAD,CV-Cox-Lasso,0.04765702868566114,76,True,0.6204913815574414,False,0.5987096774193549,0.6393210749646393,0.6101108033240997,0.6278409090909091,0.6264744429882044
LUAD,CV-Cox-Lasso,0.04234917070294792,97,True,0.6193332365417004,False,0.5967741935483871,0.652050919377652,0.5921052631578947,0.6292613636363636,0.6264744429882044
LUAD,CV-Cox-Lasso,0.03763248168610707,123,True,0.6166652170538152,False,0.6012903225806452,0.6598302687411598,0.5734072022160664,0.6242897727272727,0.6245085190039319
LUAD,CV-Cox-Lasso,0.03344111949178269,143,True,0.6214205309589331,False,0.5929032258064516,0.6711456859971712,0.5934903047091413,0.6257102272727273,0.6238532110091743
