Cancer,Method,alpha,full_fit_nonzero,eligible_at_least_top20,mean_validation_cindex,selected,fold_1_cindex,fold_2_cindex,fold_3_cindex,fold_4_cindex,fold_5_cindex
LIHC,CV-Cox-EN,0.32145083225153853,0,False,0.6469956041574664,False,0.658204895738894,0.6750448833034112,0.6465256797583081,0.6049019607843137,0.6503006012024048
LIHC,CV-Cox-EN,0.285648865299925,3,False,0.6510159524351732,False,0.6890299184043518,0.6561938958707361,0.6515609264853978,0.6009803921568627,0.657314629258517
LIHC,CV-Cox-EN,0.25383438479725434,8,False,0.6578801944330541,False,0.6944696282864914,0.6552962298025135,0.6515609264853978,0.6137254901960785,0.6743486973947895
LIHC,CV-Cox-EN,0.22556327972018556,14,False,0.662365483307678,False,0.7062556663644606,0.6615798922800719,0.6737160120845922,0.6029411764705882,0.6673346693386774
LIHC,CV-Cox-EN,0.20044090243630783,24,True,0.6654888803100236,False,0.7162284678150499,0.6463195691202872,0.6807653575025177,0.6107843137254902,0.6733466933867736
LIHC,CV-Cox-EN,0.17811655966042458,35,True,0.6665048127114619,False,0.71350861287398,0.6436265709156194,0.6656596173212488,0.6313725490196078,0.6783567134268537
LIHC,CV-Cox-EN,0.15827861698710272,45,True,0.6668394756090874,True,0.7189483227561196,0.6229802513464991,0.6737160120845922,0.6401960784313725,0.6783567134268537
LIHC,CV-Cox-EN,0.14065014866170386,54,True,0.6632650465940142,False,0.7271078875793291,0.6247755834829444,0.6676737160120846,0.6284313725490196,0.6683366733466933
LIHC,CV-Cox-EN,0.1249850718633166,74,True,0.6571608724822918,False,0.7243880326382592,0.6140035906642729,0.6686807653575025,0.6284313725490196,0.6503006012024048
LIHC,CV-Cox-EN,0.11106471153650309,90,True,0.6517979046156913,False,0.71350861287398,0.6149012567324955,0.6656596173212488,0.6186274509803922,0.6462925851703407
LIHC,CV-Cox-EN,0.09869474781897614,113,True,0.6447977899733346,False,0.7080689029918404,0.6149012567324955,0.67472306143001,0.5980392156862745,0.6282565130260521
LIHC,CV-Cox-EN,0.08770250345313221,137,True,0.6492771700169256,False,0.7171350861287398,0.6202872531418312,0.6777442094662638,0.6019607843137255,0.6292585170340681
LIHC,CV-Cox-EN,0.07793453331533587,152,True,0.6564754912765112,False,0.7252946509519492,0.6310592459605027,0.6958710976837865,0.6049019607843137,0.625250501002004
LIHC,CV-Cox-EN,0.06925448241423349,168,True,0.6499577933906224,False,0.7062556663644606,0.6211849192100538,0.701913393756294,0.5911764705882353,0.6292585170340681
LIHC,CV-Cox-EN,0.06154118245704036,188,True,0.6466074142837719,False,0.6908431550317317,0.6247755834829444,0.7049345417925479,0.5882352941176471,0.624248496993988
LIHC,CV-Cox-EN,0.05468696041301069,213,True,0.6438060742487112,False,0.6763372620126926,0.6364452423698385,0.6968781470292045,0.5931372549019608,0.6162324649298597
LIHC,CV-Cox-EN,0.04859613546265334,227,True,0.6387316203333562,False,0.6645512239347234,0.6328545780969479,0.6888217522658611,0.5901960784313726,0.6172344689378757
LIHC,CV-Cox-EN,0.04318368335100782,256,True,0.631467157614156,False,0.6536718041704442,0.6310592459605027,0.6868076535750252,0.5715686274509804,0.6142284569138277
LIHC,CV-Cox-EN,0.038374049500155265,277,True,0.6241738782388921,False,0.6455122393472348,0.6364452423698385,0.6797583081570997,0.5529411764705883,0.6062124248496994
LIHC,CV-Cox-EN,0.03410009431272842,291,True,0.620077557737001,False,0.6400725294650952,0.6283662477558348,0.6727089627391742,0.5490196078431373,0.6102204408817635
LIHC,CV-Cox-EN,0.030302155943491657,312,True,0.6178689121497184,False,0.6337262012692656,0.6265709156193896,0.6676737160120846,0.5431372549019607,0.6182364729458918
LIHC,CV-Cox-EN,0.026927217455845743,331,True,0.6151940840834765,False,0.6310063463281959,0.6238779174147218,0.6656596173212488,0.5401960784313725,0.6152304609218436
LIHC,CV-Cox-EN,0.02392816673726268,346,True,0.6141651024593285,False,0.6319129646418857,0.6247755834829444,0.6656596173212488,0.5372549019607843,0.6112224448897795
LIHC,CV-Cox-EN,0.021263138842515093,363,True,0.613478746258871,False,0.629193109700816,0.6229802513464991,0.6646525679758308,0.5333333333333333,0.6172344689378757
LIHC,CV-Cox-EN,0.018894931584206923,376,True,0.6123157138667839,False,0.6237533998186764,0.6274685816876122,0.6636455186304129,0.5264705882352941,0.6202404809619239
LIHC,CV-Cox-EN,0.016790486212600524,396,True,0.6116620363826469,False,0.6201269265639165,0.6337522441651705,0.6636455186304129,0.5225490196078432,0.6182364729458918
LIHC,CV-Cox-EN,0.014920425935342773,414,True,0.6130787510763309,False,0.6246600181323663,0.6373429084380611,0.6646525679758308,0.5245098039215687,0.6142284569138277
LIHC,CV-Cox-EN,0.01325864583510294,434,True,0.6109565786483335,False,0.6273798730734361,0.6319569120287253,0.6616314199395771,0.5205882352941177,0.6132264529058116
LIHC,CV-Cox-EN,0.011781948460619062,448,True,0.6124488604254346,False,0.6300997280145059,0.6337522441651705,0.6626384692849949,0.5235294117647059,0.6122244488977956
LIHC,CV-Cox-EN,0.010469720004222902,468,True,0.6147147559341853,False,0.6319129646418857,0.6373429084380611,0.6626384692849949,0.5274509803921569,0.6142284569138277
LIHC,CV-Cox-EN,0.009303642545476358,490,True,0.6154909015869721,False,0.6300997280145059,0.6400359066427289,0.6616314199395771,0.5274509803921569,0.6182364729458918
LIHC,CV-Cox-EN,0.00826743834401352,507,True,0.615663863818407,False,0.629193109700816,0.6409335727109515,0.6576032225579054,0.5323529411764706,0.6182364729458918
LIHC,CV-Cox-EN,0.007346642612070107,539,True,0.6168344520643363,False,0.629193109700816,0.6418312387791741,0.6596173212487412,0.5352941176470588,0.6182364729458918
LIHC,CV-Cox-EN,0.006528401594741427,557,True,0.6170719952850388,False,0.6255666364460563,0.6427289048473968,0.6586102719033232,0.5392156862745098,0.6192384769539078
LIHC,CV-Cox-EN,0.005801293139290616,575,True,0.6203780490795359,False,0.6255666364460563,0.6463195691202872,0.6586102719033232,0.5431372549019607,0.6282565130260521
LIHC,CV-Cox-EN,0.005155167248762576,590,True,0.6204599108684569,False,0.628286491387126,0.6490125673249552,0.6555891238670695,0.542156862745098,0.627254509018036
LIHC,CV-Cox-EN,0.004581004394127892,618,True,0.6197043624170413,False,0.6264732547597461,0.6481149012567325,0.6555891238670695,0.5450980392156862,0.6232464929859719
LIHC,CV-Cox-EN,0.00407078960707945,656,True,0.6185053167098598,False,0.6219401631912964,0.6436265709156194,0.6596173212487412,0.5450980392156862,0.6222444889779559
LIHC,CV-Cox-EN,0.0036174005958928635,680,True,0.6211896080165946,False,0.6264732547597461,0.6436265709156194,0.6596173212487412,0.5509803921568628,0.625250501002004
LIHC,CV-Cox-EN,0.0032145083225153894,709,True,0.6207852626336199,False,0.6255666364460563,0.6436265709156194,0.6586102719033232,0.5558823529411765,0.6202404809619239
